english;spanish;french;italian;german;japanese;chinese
Giaprey Greaves;Grebas de Giaprey;Grèves Giaprey;Schinieri Giaprey;Giaprey-Beinschienen;ギアノスグリーヴ;
Giaprey Leggings;Calzas de Giaprey;Cuissard Giaprey;Gambali Giaprey;Giaprey-Gamaschen;ギアノスレギンス;
Genprey Greaves;Grebas de Genprey;Grèves Genprey;Schinieri Genprey;Genprey-Beinschienen;ゲネポスグリーヴ;
Genprey Leggings;Calzas de Genprey;Cuissard Genprey;Gambali Genprey;Genprey-Gamaschen;ゲネポスレギンス;
Vespoid Greaves;Grebas de Vespoid;Grèves Vespoid;Schinieri Vespoid;Vespoid-Beinschienen;ランゴグリーヴ;
Vespoid Leggings;Calzas de Vespoid;Cuissard Vespoid;Gambali Vespoid;Vespoid-Gamaschen;ランゴレギンス;
Hornetaur Greaves;Grebas de Hornetaur;Grèves Hornet;Schinieri Hornetaur;HornetaurBeinschinen;タロスグリーヴ;
Hornetaur Leggings;Calzas de Hornetaur;Cuissard Hornet;Gambali Hornetaur;Hornetaur-Gamaschen;タロスレギンス;
Bnahabra Boots;Botas de Bnahabra;Bottes Bnahabra;Stivali Bnahabra;Bnahabra-Stiefel;ブナハブーツ;
Bnahabra Pants;Pantalón de Bnahabra;Pieds Bnahabra;Pantaloni Bnahabra;Bnahabra-Hose;ブナハフット;
Mosswine Feet;Botas Mosswine;Pieds Mosswine;Zampe Mosswine;Mosswine-Stiefel;モスフット;
Rhenoplos Greaves;Grebas de Rhenoplos;Grèves Rhenoplos;Schinieri Rhenoplos;RhenoplosBeinschinen;リノプログリーヴ;
Rhenoplos Leggings;Calzas de Rhenoplos;Cuissard Rhenoplos;Gambali Rhenoplos;Rhenoplos-Gamaschen;リノプロレギンス;
Bulldrome Greaves;Grebas Bulldrome;Grèves Bulldrome;Schin. Bulldrome;Bulldrome-Beinschienen;ファンゴグリーヴ;
Bulldrome Leggings;Calzas Bulldrome;Cuissard Bulldrome;Gambali Bulldrome;Bulldrome-Gamaschen;ファンゴレギンス;
Arzuros Greaves;Grebas de Arzuros;Grèves Arzuros;Schinieri Arzuros;Arzuros-Beinschienen;アシラグリーヴ;
Arzuros Leggings;Calzas de Arzuros;Cuissard Arzuros;Gambali Arzuros;Arzuros-Gamaschen;アシラレギンス;
Cephalos Greaves;Grebas de Cephalos;Grèves Cephalos;Schinieri Cephalos;CephalosBeinschienen;ガレオスグリーヴ;
Cephalos Leggings;Calzas de Cephalos;Cuissard Cephalos;Gambali Cephalos;Cephalos-Gamaschen;ガレオスレギンス;
Derring Trousers;Pantalones valerosos;Pantalon de bravoure;Pantaloni arditi;Wagemut-Hose;ブレイブパンツ;
Alloy Greaves;Grebas de aleación;Grèves en alliage;Schinieri in lega;LegierungsBeinschien;アロイグリーヴ;
Alloy Leggings;Calzas de aleación;Cuissard en alliage;Gambali in lega;Legierungs-Gamaschen;アロイレギンス;
Battle Greaves;Grebas de combate;Grèves de combat;Schin. da battaglia;Kampf-Beinschienen;バトルグリーヴ;
Battle Leggings;Calzas de combate;Cuissard de combat;Gambali da battaglia;Kampf-Gamaschen;バトルレギンス;
Ingot Greaves;Grebas de lingote;Grèves en lingot;Schinieri lingotto;Guss-Beinschienen;インゴットグリーヴ;
Ingot Leggings;Calzas de lingote;Cuissard en lingot;Gambali lingotto;Guss-Gamaschen;インゴットレギンス;
High Metal Greaves;Grebas de megametal;Grèves haut-métal;Schinieri Hi-Metal;HochmetallBeinschien;ハイメタグリーヴ;
High Metal Leggings;Calzas de megametal;Cuissard haut-métal;Gambali Hi-Metal;Hochmetall-Gamaschen;ハイメタレギンス;
Metal Boots;Botas de metal;Bottes en métal;Stivali di metallo;Metallstiefel;メタルブーツ;
Metal Feet;Pezuñas metálicas;Godillots en métal;Piedi di metallo;Metallfüße;メタルフット;
Melahoa Roots;Raíces Melahoa;Racines Melahoa;Radici Melahoa;Melahoa-Wurzeln;メルホアライース;
Melahoa Taproot;Tallo Melahoa;Pivot Melahoa;Fittone Melahoa;Melahoa-Pfahlwurzel;メルホアヴルツェル;
Makluva Pants;Pantalones Makluva;Pantalon Makluva;Pantaloni Makluva;Makluva-Hose;マカルパパンツ;
Makluva Leggings;Calzas Makluva;Cuissard Makluva;Gambali Makluva;Makluva-Gamaschen;マカルパパルミュ;
Obituary Crura;Espinil. obituario;Crura Nécrologie;Jambe Necrologio;Todes-Crura;オウビートガンバ;
Obituary Tarsi;Escarpe de obituario;Tarsi Nécrologie;Femur Necrologio;Todes-Tarsi;オウビートフェムル;
Butterfly Crura;Espinillera mariposa;Crura Papillon;Jambe farfalla;Schmetterling-Crura;パピメルガンバ;
Butterfly Tarsi;Escarpe de mariposa;Tarsi Papillon;Femur farfalla;Schmetterling-Tarsi;パピメルフェムル;
Death Stench Heel;Tacón pestilente;Talon putride;Tallone puzza morte;Todesgestank-Ferse;デスギアフェルゼ;
Death Stench March;Marcha pestilente;Marche putride;Marcia puzza morte;Todesgestank-Marsch;デスギアヴィレ;
Mosgharl Roots;Raíz de Mosgharl;Racines Mosgharl;Radici Mosgharl;Mosgharl-Wurzeln;マギュルライース;
Mosgharl Radicles;Semilla de Mosgharl;Radicule Mosgharl;Germogli Mosgharl;Mosgharl-Keimwurzeln;マギュルヴルツェル;
Edel Roots;Raíces de Edel;Racines Edel;Radici Edel;Edel-Wurzeln;エーデルライース;
Edel Radicles;Semilla de Edel;Radicule Edel;Germogli Edel;Edel-Keimwurzeln;エーデルヴルツェル;
Skalda Crura;Espinil. de Skalda;Crura Skalda;Jambe Skalda;Skalda-Crura;スカルダガンバ;
Skalda Tarsi;Escarpe de Skalda;Tarsi Skalda;Femur Skalda;Skalda-Tarsi;スカルダフェムル;
Spio Crura;Espinil. de Spio;Crura Spio;Jambe Spio;Spio-Crura;スパイオガンバ;
Spio Tarsi;Escarpe de Spio;Tarsi Spio;Femur Spio;Spio-Tarsi;スパイオフェムル;
Droth Greaves;Grebas de Droth;Grèves Droth;Schinieri Droth;Droth-Beinschienen;ドロスグリーヴ;
Droth Leggings;Calzas de Droth;Cuissard Droth;Gambali Droth;Droth-Gamaschen;ドロスレギンス;
Velociprey Feet;Pezuñas Velociprey;Pieds Velociprey;Zampe Velociprey;Velociprey-Füße;ランポスーツフット;
Velociprey Tights;Mallas Velociprey;Collant Velociprey;Calzam. Velociprey;VelocipreyStrumpfhose;ランポスーツタイツ;
Genprey Feet;Pezuñas de Genprey;Pieds Genprey;Zampe Genprey;Genprey-Füße;ゲネポスーツフット;
Genprey Tights;Mallas de Genprey;Collant Genprey;Calzamaglia Genprey;Genprey-Strumpfhose;ゲネポスーツタイツ;
Ioprey Feet;Pezuñas de Ioprey;Pieds Ioprey;Zampe Ioprey;Ioprey-Füße;イーオスーツフット;
Ioprey Tights;Leotardos de Ioprey;Collant Ioprey;Calzamaglia Ioprey;Ioprey-Strumpfhose;イーオスーツタイツ;
Remobra Feet;Pezuñas de Remobra;Pieds Remobra;Zampe Remobra;Remobra-Füße;ガブラスーツフット;
Remobra Tights;Leotardos de Remobra;Collant Remobra;Calzamaglia Remobra;Remobra-Strumpfhose;ガブラスーツタイツ;
Ioprey Greaves;Grebas de Ioprey;Grèves Ioprey;Schinieri Ioprey;Ioprey-Beinschienen;イーオスグリーヴ;
Ioprey Leggings;Calzas de Ioprey;Cuissard Ioprey;Gambali Ioprey;Ioprey-Gamaschen;イーオスレギンス;
Kut-Ku Greaves;Grebas de Kut-Ku;Grèves Kut-Ku;Schinieri Kut-Ku;Kut-Ku-Beinschienen;クックグリーヴ;
Kut-Ku Leggings;Calzas de Kut-Ku;Cuissard Kut-Ku;Gambali Kut-Ku;Kut-Ku-Gamaschen;クックレギンス;
Lagombi Greaves;Grebas de Lagombi;Grèves Lagombi;Schinieri Lagombi;Lagombi-Beinschienen;ウルクグリーヴ;
Lagombi Leggings;Calzas de Lagombi;Cuissard Lagombi;Gambali Lagombi;Lagombi-Gamaschen;ウルクレギンス;
Gypceros Greaves;Grebas de Gypceros;Grèves Gypceros;Schinieri Gypceros;GypcerosBeinschienen;ゲリョスグリーヴ;
Gypceros Leggings;Calzas de Gypceros;Cuissard Gypceros;Gambali Gypceros;Gypceros-Gamaschen;ゲリョスレギンス;
Tetsucabra Greaves;Grebas de Tetsucabra;Grèves Tetsucabra;Schinieri Tetsucabra;TetsucabraBeinschien;カブラグリーヴ;
Tetsucabra Leggings;Calzas de Tetsucabra;Cuissard Tetsucabra;Gambali Tetsucabra;Tetsucabra-Gamaschen;カブラレギンス;
Hermitaur Greaves;Grebas de Hermitaur;Grèves Hermitaur;Schinieri Hermitaur;HermitaurBeinschinen;ザザミグリーヴ;
Hermitaur Leggings;Calzas de Hermitaur;Cuissard Hermitaur;Gambali Hermitaur;Hermitaur-Gamaschen;ザザミレギンス;
Volvidon Greaves;Grebas de Volvidon;Grèves Volvidon;Schinieri Volvidon;VolvidonBeinschienen;ラングログリーヴ;
Volvidon Leggings;Calzas de Volvidon;Cuissard Volvidon;Gambali Volvidon;Volvidon-Gamaschen;ラングロレギンス;
Ludroth Greaves;Grebas de Ludroth;Grèves Ludroth;Schinieri Ludroth;Ludroth-Beinschienen;ルドロスグリーヴ;
Ludroth Leggings;Calzas de Ludroth;Cuissard Ludroth;Gambali Ludroth;Ludroth-Gamaschen;ルドロスレギンス;
Malfestio Greaves;Grebas Malfestio;Grèves Malfestio;Schinieri Malfestio;MalfestioBeinschienen;ホロログリーヴ;
Malfestio Leggings;Calzas Malfestio;Cuissard Malfestio;Gambali Malfestio;Malfestio-Gamaschen;ホロロレギンス;
Khezu Greaves;Grebas de Khezu;Grèves Khezu;Schinieri Khezu;Khezu-Beinschienen;フルフルグリーヴ;
Khezu Leggings;Calzas de Khezu;Cuissard Khezu;Gambali Khezu;Khezu-Gamaschen;フルフルレギンス;
Rathian Greaves;Grebas de Rathian;Grèves Rathian;Schinieri Rathian;Rathian-Beinschienen;レイアグリーヴ;
Rathian Leggings;Calzas de Rathian;Cuissard Rathian;Gambali Rathian;Rathian-Gamaschen;レイアレギンス;
Nibelsnarf Greaves;Grebas de Nibelsnarf;Grèves Nibelsnarf;Schinieri Nibelsnarf;NibelsnarfBeinschien;ハプルグリーヴ;
Nibelsnarf Leggings;Calzas de Nibelsnarf;Cuissard Nibelsnarf;Gambali Nibelsnarf;Nibelsnarf-Gamaschen;ハプルレギンス;
Blango Greaves;Grebas de Blango;Grèves Blango;Schinieri Blango;Blango-Beinschienen;ブランゴグリーヴ;
Blango Leggings;Calzas de Blango;Cuissard Blango;Gambali Blango;Blango-Gamaschen;ブランゴレギンス;
Ceanataur Greaves;Grebas de Ceanataur;Grèves Ceanataur;Schinieri Ceanataur;CeanataurBeinschinen;ギザミグリーヴ;
Ceanataur Leggings;Calzas de Ceanataur;Cuissard Ceanataur;Gambali Ceanataur;Ceanataur-Gamaschen;ギザミレギンス;
Najarala Greaves;Grebas de Najarala;Grèves Najarala;Schinieri Najarala;NajaralaBeinschienen;ガララグリーヴ;
Najarala Leggings;Calzas de Najarala;Cuissard Najarala;Gambali Najarala;Najarala-Gamaschen;ガララレギンス;
Nargacuga Greaves;Grebas de Nargacuga;Grèves Nargacuga;Schinieri Nargacuga;NargacugaBeinschinen;ナルガグリーヴ;
Nargacuga Leggings;Calzas de Nargacuga;Cuissard Nargacuga;Gambali Nargacuga;Nargacuga-Gamaschen;ナルガレギンス;
Scholarly Boots;Botas de erudito;Bottes du savoir;Stivali sapienti;Gelehrtenstiefel;サージュブーツ;
Scholarly Tights;Mallas de erudito;Collant du savoir;Calzam. sapiente;Gelehrtenstrumpfhose;サージュタイツ;
Vaik Greaves;Grebas de Vaik;Grèves Vaik;Schinieri Vaik;Vaik-Beinschienen;ヴァイクグリーヴ;
Vaik Leggings;Calzas de Vaik;Cuissard Vaik;Gambali Vaik;Vaik-Gamaschen;ヴァイクレギンス;
Aelucanth Crura;Espinill. Aelucanth;Jambes Aelucanth;Jambe Aelucanth;Aelucanth-Crura;ロワーガガンバ;
Aelucanth Tarsi;Escarpe de Aelucanth;Tarsi Aelucanth;Femur Aelucanth;Aelucanth-Tarsi;ロワーガフェムル;
Rhopessa Crura;Espinillera Rhopessa;Jambes Rhopessa;Jambe Rhopessa;Rhopessa-Crura;ファルメルガンバ;
Rhopessa Tarsi;Escarpe de Rhopessa;Tarsi Rhopessa;Femur Rhopessa;Rhopessa-Tarsi;ファルメルフェムル;
Artian Greaves;Grebas Artianas;Grèves Artian;Schinieri Artian;Artian-Beinschienen;アーティアグリーヴ;
Artian Leggings;Calzas Artianas;Cuissard Artian;Gambali Artian;Artian-Gamaschen;アーティアレギンス;
Garuga Greaves;Grebas de Garuga;Grèves Garuga;Schinieri Garuga;Garuga-Beinschienen;ガルルガグリーヴ;
Garuga Leggings;Calzas de Garuga;Cuissard Garuga;Gambali Garuga;Garuga-Gamaschen;ガルルガレギンス;
Uragaan Greaves;Grebas de Uragaan;Grèves Uragaan;Schinieri Uragaan;Uragaan-Beinschienen;ガンキングリーヴ;
Uragaan Leggings;Calzas de Uragaan;Cuissard Uragaan;Gambali Uragaan;Uragaan-Gamaschen;ガンキンレギンス;
Rathalos Greaves;Grebas de Rathalos;Grèves Rathalos;Schinieri Rathalos;RathalosBeinschienen;レウスグリーヴ;
Rathalos Leggings;Calzas de Rathalos;Cuissard Rathalos;Gambali Rathalos;Rathalos-Gamaschen;レウスレギンス;
Lagiacrus Greaves;Grebas de Lagiacrus;Grèves Lagiacrus;Schinieri Lagiacrus;LagiacrusBeinschinen;ラギアグリーヴ;
Lagiacrus Leggings;Calzas de Lagiacrus;Cuissard Lagiacrus;Gambali Lagiacrus;Lagiacrus-Gamaschen;ラギアレギンス;
Zinogre Greaves;Grebas de Zinogre;Grèves Zinogre;Schinieri Zinogre;Zinogre-Beinschienen;ジンオウグリーヴ;
Zinogre Leggings;Calzas de Zinogre;Cuissard Zinogre;Gambali Zinogre;Zinogre-Gamaschen;ジンオウレギンス;
Mizutsune Greaves;Grebas Mizutsune;Grèves Mizutsune;Schin. Mizutsune;MizutsuneBeinschienen;ミツネグリーヴ;
Mizutsune Leggings;Calzas Mizutsune;Cuissard Mizutsune;Gambali Mizutsune;Mizutsune-Gamaschen;ミツネレギンス;
Astalos Greaves;Grebas de Astalos;Grèves Astalos;Schinieri Astalos;Astalos-Beinschienen;ゼクスグリーヴ;
Astalos Leggings;Calzas de Astalos;Cuissard Astalos;Gambali Astalos;Astalos-Gamaschen;ゼクスレギンス;
Gammoth Greaves;Grebas de Gammoth;Grèves Gammoth;Schinieri Gammoth;Gammoth-Beinschienen;ガムートグリーヴ;
Gammoth Leggings;Calzas de Gammoth;Cuissard Gammoth;Gambali Gammoth;Gammoth-Gamaschen;ガムートレギンス;
Glavenus Greaves;Grebas de Glavenus;Grèves Glavenus;Schinieri Glavenus;GlavenusBeinschienen;ディノグリーヴ;
Glavenus Leggings;Calzas de Glavenus;Cuissard Glavenus;Gambali Glavenus;Glavenus-Gamaschen;ディノレギンス;
Gore Greaves;Grebas de Gore;Grèves Gore;Schin. Gore Magala;GoreMagaBeinschienen;ゴアグリーヴ;
Gore Leggings;Calzas de Gore;Cuissard Gore;Gambali Gore Magala;GoreMagala-Gamaschen;ゴアレギンス;
Regios Greaves;Grebas de Regios;Grèves Regios;Schinieri Regios;Regios-Beinschienen;レギオスグリーヴ;
Regios Leggings;Calzas de Regios;Cuissard Regios;Gambali Regios;Regios-Gamaschen;レギオスレギンス;
Tigrex Greaves;Grebas de Tigrex;Grèves Tigrex;Schinieri Tigrex;Tigrex-Beinschienen;レックスグリーヴ;
Tigrex Leggings;Calzas de Tigrex;Cuissard Tigrex;Gambali Tigrex;Tigrex-Gamaschen;レックスレギンス;
Kirin Leg Guards;Def. piernas Kirin;Jambières Kirin;Paragambe Kirin;Kirin-Beinschutz;キリンレガース;
Kirin Boots;Botas de Kirin;Bottes Kirin;Stivali Kirin;Kirin-Stiefel;キリンブーツ;
Brachydios Greaves;Grebas de Brachydios;Grèves Brachydios;Schinieri Brachydios;BrachydiosBeinschien;ブラキグリーヴ;
Brachydios Leggings;Calzas de Brachydios;Cuissard Brachydios;Gambali Brachydios;Brachydios-Gamaschen;ブラキレギンス;
Arc Greaves;Grebas de arco;Grèves Archange;Schinieri dell'arco;Erz-Beinschienen;アークグリーヴ;
Arc Leggings;Calzas de arco;Cuissard Archange;Gambali dell'arco;Erz-Gamaschen;アークレギンス;
Storge Greaves;Grebas amor filial;Grèves Philia;Schinieri storge;Philia-Beinschienen;フィリアグリーヴ;
Storge Leggings;Calzas amor filial;Cuissard Philia;Gambali storge;Philia-Gamaschen;フィリアレギンス;
Kushala Crus;Tibia de Kushala;Mollet Kushala;Tibia Kushala;Kushala-Crus;クシャナペイル;
Kushala Shank;Anca de Kushala;Jarret Kushala;Stinco Kushala;KushalaUnterschenkel;クシャナハディ;
Mizuha Gaiters;Perneras Mizuha;Gusoku Mizuha;Gambali Mizuha;Mizuha-Gusoku;ミヅハ【具足】;
Cham Trousers;Pantal. extravagantes;Gusoku fantasque;Pant. stravaganti;Fantasie-Gusoku;トヨタマ【具足】;
Kaiser Greaves;Grebas de Káiser;Grèves Kaiser;Schinieri Kaiser;Kaiser-Beinschienen;カイザーグリーヴ;
Kaiser Leggings;Calzas de Káiser;Cuissard Kaiser;Gambali Kaiser;Kaiser-Gamaschen;カイザーレギンス;
Skeletal Femur;Fémur óseo;Fémur squelette;Femore scheletrico;Skelett-Femur;骸装甲【大腿骨】;
Decayed Femur;Fémur roto;Fémur ancien;Femore decomposto;Modriger Femur;屍装甲【大腿骨】;
Black Feet;Pezuñas negras;Pieds noirs;Piedi neri;Schwarze Füße;ブラックフット;
Black Legs;Patas negras;Jambes noires;Gambe nere;Schwarze Beine;ブラックレグス;
Black Belt Greaves;Grebas cint. negro;Grèves obi noir;Schin. cintura nera;SchwarzgurtBeinschin;クロオビグリーヴ;
Black Belt Leggings;Calzas cinturón negro;Cuissard obi noir;Gambali cintura nera;SchwarzgurtGamaschen;クロオビレギンス;
Guild Bard Boots;Botas bardo gremio;Bottes de barde;Stivali bardo;Gildenbarden-Stiefel;ギルドバードブーツ;
Guild Bard Gaiters;Polainas bardo gremio;Guêtres de barde;Ghette bardo;Gildenbarden-Stulpen;ギルドバードフット;
Maiden's Socks;Calcetines sirvienta;Chaussettes Soubrette;Calze damigella;Magd-Socken;メイドソックス;
French Maid Tights;Leotardos de criada;Bas Gothic Lolita;Calzam. french maid;Hausmagd-Strumpfhose;プライベートタイツ;
Helper Socks;Calcetines ayudante;Chaussettes Servante;Calze aiutante;Helfer-Socken;ヘルパーソックス;
Healer Socks;Calcetines de sanador;Chaussettes Guérisseuse;Calze guaritrice;Heiler-Socken;ヒーラーソックス;
Dianthus Pants;Perneras Dianthus;Culotte Dianthus;Calzoni Dianthus;Dianthus-Kniehose;撫子【球袴】;
Campanile Pants;Perneras campanilla;Culotte Campanile;Calzoni Campanile;Campanile-Kniehose;桔梗【球袴】;
Bath Sandals;Sandalias de baño;Sandales de bain;Sandali da bagno;Badesandalen;ユアミサンダル;
Gourmew Boots;Botas Gourmiáu;Bottes Gourmiaou;Stivali Gourmiao;Gourmiau-Stiefel;グルニャンブーツ;
Gourmew Paws;Patas de Gourmiáu;Pattes Gourmiaou;Zampe Gourmiao;Gourmiau-Pfoten;グルニャンフット;
Leather Greaves S;Grebas de cuero S;Grèves en cuir S;Schinieri di cuoio S;Leder-Beinschienen S;レザーＳグリーヴ;
Leather Leggings S;Calzas de cuero S;Cuissard en cuir S;Gambali di cuoio S;Leder-Gamaschen S;レザーＳレギンス;
Chainmail Greaves S;Grebas de malla S;Grèves en maille S;Schinieri di cotta S;KettenBeinschienen S;チェーンＳグリーヴ;
Chainmail Leggings S;Calzas de malla S;Cuissard en maille S;Gambali di cotta S;Ketten-Gamaschen S;チェーンＳレギンス;
Bherna Greaves S;Grebas Bherna S;Grèves Bherna S;Schinieri Bherna S;Bherna-Beinschienen S;ベルダーＳグリーヴ;
Bherna Leggings S;Calzas de Bherna S;Cuissard Bherna S;Gambali Bherna S;Bherna-Gamaschen S;ベルダーＳレギンス;
Hunting Greaves S;Grebas de caza S;Grèves Fauconnier S;Schinieri caccia S;Jagd-Beinschienen S;ハントＳグリーヴ;
Hunting Leggings S;Calzas de caza S;Cuissard Fauconnier S;Gambali caccia S;Jagdgamaschen S;ハントＳレギンス;
Mafumofu Boots S;Botas Mafumofu S;Bottes Mafumofu S;Stivali Mafumofu S;Mafumofu-Stiefel S;マフモフＳブーツ;
Mafumofu Tights S;Mallas Mafumofu S;Collant Mafumofu S;Calzam. Mafumofu S;MafumofuStrumpfhose S;マフモフＳタイツ;
Yukumo Sky Hakama;Hakama cielo Yukumo;Hakama Yukumo Ciel;Hakama Yukumo cielo;Yukumo-Hakama Luft;ユクモノハカマ・天;
Yukumo Land Hakama;Hakama tierra Yukumo;Hakama Yukumo Terre;Hakama Yukumo terra;Yukumo-Hakama Land;ユクモノハカマ・地;
Loc Lac Boots S;Botas de Loc Lac S;Bottes Loc Lac S;Stivali Loc Lac S;Loc-Lac-Stiefel S;ロックラックＳブーツ;
Hunter's Greaves S;Grebas de cazador S;Grèves de chasseur S;Schin. cacciatore S;Jäger-Beinschienen S;ハンターＳグリーヴ;
Hunter's Leggings S;Calzas de cazador S;Cuissard chasseur S;Gambali cacciatore S;Jäger-Gamaschen S;ハンターＳレギンス;
Hunter's Greaves R;Grebas cazador R;Grèves chasseur R;Schin. cacciatore R;Jäger-Beinschienen R;ハンターＲグリーヴ;
Hunter's Leggings R;Calzas cazador R;Cuissard chasseur R;Gambali cacciatore R;Jäger-Gamaschen R;ハンターＲレギンス;
Bone Greaves S;Grebas de hueso S;Grèves d'os S;Schinieri d'osso S;KnochenBeinschienenS;ボーンＳグリーヴ;
Bone Leggings S;Calzas de hueso S;Cuissard d'os S;Gambali d'osso S;Knochen-Gamaschen S;ボーンＳレギンス;
Silver Metal Boots;Botas metal plateado;Bottes argentées;Stivali metallo arg.;Silberne Metallstiefel;シルバーメタルブーツ;
Silver Feet;Pies de plata;Pieds d'argent;Piedi d'argento;Silberne Füße;シルバーメタルフット;
Melahoa Roots S;Raíces Melahoa S;Racines Melahoa S;Radici Melahoa S;Melahoa-Wurzeln S;メルホアＳライース;
Melahoa Taproot S;Tallo Melahoa S;Rhizome Melahoa S;Fittone Melahoa S;Melahoa-Pfahlwurzel S;メルホアＳヴルツェル;
Melahoa Roots U;Raíces Melahoa U;Racines Melahoa U;Radici Melahoa U;Melahoa-Wurzeln U;メルホアＵライース;
Melahoa Taproot U;Tallo Melahoa U;Pivot Melahoa U;Fittone Melahoa U;MelahoaPfahlwurzel U;メルホアＵヴルツェル;
Makluva Pants S;Pantalones Makluva S;Pantalon Makluva S;Pantaloni Makluva S;Makluva-Hose S;マカルパＳパンツ;
Makluva Leggings S;Calzas Makluva S;Cuissard Makluva S;Gambali Makluva S;Makluva-Gamaschen S;マカルパＳパルミュ;
Makluva Pants U;Pantalones Makluva U;Pantalon Makluva U;Pantaloni Makluva U;Makluva-Hose U;マカルパＵパンツ;
Makluva Leggings U;Calzas Makluva U;Cuissard Makluva U;Gambali Makluva U;Makluva-Gamaschen U;マカルパＵパルミュ;
Mosgharl Roots S;Raíz de Mosgharl S;Racines Mosgharl S;Radici Mosgharl S;Mosgharl-Wurzeln S;マギュルＳライース;
Mosgharl Radicles S;Semilla Mosgharl S;Radicule Mosgharl S;Germogli Mosgharl S;MosgharlKeimwurzel S;マギュルＳヴルツェル;
Edel Roots S;Raíces de Edel S;Racines Edel S;Radici Edel S;Edel-Wurzeln S;エーデルＳライース;
Edel Radicles S;Semilla de Edel S;Radicule Edel S;Germogli Edel S;Edel-Keimwurzeln S;エーデルＳヴルツェル;
Velociprey Feet S;Pezuñas Velociprey S;Pieds Velociprey S;Zampe Velociprey S;Velociprey-Füße S;ランポスーツＳフット;
Velociprey Tights S;Mallas Velociprey S;Collant Velociprey S;Calzam. Velociprey S;VelocipreyStrumpfhseS;ランポスーツＳタイツ;
Genprey Feet S;Pezuñas Genprey S;Pieds Genprey S;Zampe Genprey S;Genprey-Füße S;ゲネポスーツＳフット;
Genprey Tights S;Mallas Genprey S;Collant Genprey S;Calzam. Genprey S;GenpreyStrumpfhose S;ゲネポスーツＳタイツ;
Ioprey Feet S;Pezuñas Ioprey S;Pieds Ioprey S;Zampe Ioprey S;Ioprey-Füße S;イーオスーツＳフット;
Ioprey Tights S;Leotardos Ioprey S;Collant Ioprey S;Calzam. Ioprey S;Ioprey-StrumpfhoseS;イーオスーツＳタイツ;
Remobra Feet S;Pezuñas de Remobra S;Pieds Remobra S;Zampe Remobra S;Remobra-Füße S;ガブラスーツＳフット;
