english;spanish;french;italian;german;japanese;chinese
Jaggi Vambraces S;Brazales Jaggi S;Avant-bras Jaggi S;;Jaggi-Armschienen S;ジャギィＳアーム;
Jaggi Guards S;Guardab. Jaggi S;Gardes Jaggi S;;Jaggi-Armschutz S;ジャギィＳガード;
Arzuros Vambraces S;Brazales Aoashira S;Avant-bras Aoashira S;;AoashiraArmschienenS;アシラＳアーム;
Arzuros Guards S;Guardab. Aoashira S;Gardes Aoashira S;;Aoashira-Armschutz S;アシラＳガード;
Steel Vambraces S;Brazales acero S;Avant-bras en acier S;;Stahl-Armschienen S;スティールＳアーム;
Wroggi Vambraces S;Brazales Furogi S;Avant-bras Froggi S;;Froggi-Armschienen S;フロギィＳアーム;
Wroggi Guards S;Guardab. Furogi S;Gardes Froggi S;;Froggi-Armschutz S;フロギィＳガード;
Lagombi Vambraces S;Brazales Urukusu. S;Avt-bras Urukususu S;;Ulkusus-ArmschienenS;ウルクＳアーム;
Lagombi Guards S;Guardab. Urukusu. S;Gardes Urukususu S;;Ulkusus-Armschutz S;ウルクＳガード;
Qurupeco Vambraces S;Brazales Qurupeco S;Avt-bras Qurupeco S;;QurupecoArmschienenS;ペッコＳアーム;
Qurupeco Guards S;Guardab. Qurupeco S;Gardes Qurupeco S;;Qurupeco-Armschutz S;ペッコＳガード;
Ludroth Vambraces S;Brazales Ludroth S;Avant-bras Ludroth S;;Ludroth-ArmschienenS;ルドロスＳアーム;
Ludroth Guards S;Guardab. Ludroth S;Gardes Ludroth S;;Ludroth-Armschutz S;ルドロスＳガード;
Barroth Vambraces S;Brazales Barroth S;Avant-bras Barroth S;;Barroth-ArmschienenS;ボロスＳアーム;
Barroth Guards S;Guardab. Barroth S;Gardes Barroth S;;Barroth-Armschutz S;ボロスＳガード;
Ingot Vambraces S;Brazales Lingote S;Avant-bras lingot S;;Guss-Armschienen S;インゴットＳアーム;
Ingot Guards S;Guardab. Lingote S;Gardes lingot S;;Guss-Armschutz S;インゴットＳガード;
Baggi Vambraces S;Brazales Baggi S;Avant-bras Baggi S;;Baggi-Armschienen S;バギィＳアーム;
Baggi Guards S;Guardab. Baggi S;Gardes Baggi S;;Baggi-Armschutz S;バギィＳガード;
Volvidon Vambraces S;Brazales Rangu. S;Avant-bras Ranguro S;;Langro.-ArmschienenS;ラングロＳアーム;
Volvidon Guards S;Guardab. Rangu. S;Gardes Ranguro S;;LangrotoraArmschutzS;ラングロＳガード;
Rathian Vambraces S;Brazales Rathian S;Avant-bras Rathian S;;Rathian-ArmschienenS;レイアＳアーム;
Rathian Guards S;Guardab. Rathian S;Gardes Rathian S;;Rathian-Armschutz S;レイアＳガード;
Nibelsnarf Vambraces S;Brazales Hapuru S;Avt-brs Hapurubokka S;;Hapulb.-ArmschienenS;ハプルＳアーム;
Nibelsnarf Guards S;Guardab. Hapuru S;Gardes Hapurubokka S;;Hapulb.-Armschutz S;ハプルＳガード;
Gigginox Vambraces S;Brazales Gigginox S;Avant-bras Gigginox S;;GigginoxArmschienenS;ネブラＳアーム;
Gigginox Guards S;Guardab. Gigginox S;Gardes Gigginox S;;Gigginox-Armschutz S;ネブラＳガード;
Nargacuga Vambraces S;Brazales Naruga S;Avt-brs Nargacuga S;;Nargac.-ArmschienenS;ナルガＳアーム;
Nargacuga Guards S;Guardab. Naruga S;Gardes Nargacuga S;;Nargacuga-ArmschutzS;ナルガＳガード;
Barioth Vambraces S;Brazales Barioth S;Avant-bras Barioth S;;Barioth-ArmschienenS;ベリオＳアーム;
Barioth Guards S;Guardab. Barioth S;Gardes Barioth S;;Barioth-Armschutz S;ベリオＳガード;
Rathalos Vambraces S;Brazal. Rathalos S;Avant-bras Rathalos S;;RathalosArmschienenS;レウスＳアーム;
Rathalos Guards S;Guard. Rathalos S;Gardes Rathalos S;;Rathalos-Armschutz S;レウスＳガード;
Uragaan Vambraces S;Brazales Uragaan S;Avant-bras Uragaan S;;Uragaan-ArmschienenS;ガンキンＳアーム;
Uragaan Guards S;Guardab. Uragaan S;Gardes Uragaan S;;Uragaan-Armschutz S;ガンキンＳガード;
Dober Vambraces;Brazales Dober;Avant-bras Dober;;Dober-Armschienen;ドーベルアーム;
Dober Guards;Guardab. Dober;Gardes Dober;;Dober-Armschutz;ドーベルガード;
Zinogre Vambraces S;Brazales Jinouga S;Avant-bras Jinouga S;;Jinouga-ArmschienenS;ジンオウＳアーム;
Zinogre Guards S;Guardab. Jinouga S;Gardes Jinouga S;;Jinouga-Armschutz S;ジンオウＳガード;
Diablos Vambraces S;Brazal. Diablos S;Avant-bras Diablos S;;Diablos-ArmschienenS;ディアブロＳアーム;
Diablos Guards S;Guardab. Diablos S;Gardes Diablos S;;Diablos-Armschutz S;ディアブロＳガード;
Tigrex Vambraces S;Brazales Tigrex S;Avant-bras Tigrex S;;Tigrex-Armschienen S;レックスＳアーム;
Tigrex Guards S;Guardab. Tigrex S;Gardes Tigrex S;;Tigrex-Armschutz S;レックスＳガード;
Agnaktor Vambraces S;Brazales Agnaktor S;Avant-bras Agnaktor S;;AgnaktorArmschienenS;アグナＳアーム;
Agnaktor Guards S;Guardab. Agnaktor S;Gardes Agnaktor S;;Agnaktor-Armschutz S;アグナＳガード;
Duramboros Vambraces S;Brazales Doboru S;Avant-bras Doboru S;;Dobolb.-ArmschienenS;ドボルＳアーム;
Duramboros Guards S;Guardab. Doboru S;Gardes Doboru S;;Dobolbelk-ArmschutzS;ドボルＳガード;
Qurupeco Vambraces U;Brazales Qurupeco U;Avt-bras Qurupeco U;;QurupecoArmschienenU;ペッコＵアーム;
Qurupeco Guards U;Guardab. Qurupeco U;Gardes Qurupeco U;;Qurupeco-Armschutz U;ペッコＵガード;
Ludroth Vambraces U;Brazales Ludroth U;Avant-bras Ludroth U;;Ludroth-ArmschienenU;ルドロスＵアーム;
Ludroth Guards U;Guardab. Ludroth U;Gardes Ludroth U;;Ludroth-Armschutz U;ルドロスＵガード;
Barroth Vambraces U;Brazales Barroth U;Avant-bras Barroth U;;Barroth-ArmschienenU;ボロスＵアーム;
Barroth Guards U;Guardab. Barroth U;Gardes Barroth U;;Barroth-Armschutz U;ボロスＵガード;
Gigginox Vambraces U;Brazales Gigginox U;Avt-bras Gigginox U;;GigginoxArmschienenU;ネブラＵアーム;
Gigginox Guards U;Guardab. Gigginox U;Gardes Gigginox U;;Gigginox-Armschutz U;ネブラＵガード;
Nargacuga Vambraces U;Brazales Naruga U;Avt-bras Nargacuga U;;Nargac.-ArmschienenU;ナルガＵアーム;
Nargacuga Guards U;Guardab. Naruga U;Gardes Nargacuga U;;Nargacuga-ArmschutzU;ナルガＵガード;
Barioth Vambraces U;Brazales Barioth U;Avant-bras Barioth U;;Barioth-ArmschienenU;ベリオＵアーム;
Barioth Guards U;Guardab. Barioth U;Gardes Barioth U;;Barioth-Armschutz U;ベリオＵガード;
Uragaan Vambraces U;Brazales Uragaan U;Avant-bras Uragaan U;;Uragaan-ArmschienenU;ガンキンＵアーム;
Uragaan Guards U;Guardab. Uragaan U;Gardes Uragaan U;;Uragaan-Armschutz U;ガンキンＵガード;
Diablos Vambraces U;Brazales Diablos U;Avant-bras Diablos U;;Diablos-ArmschienenU;ディアブロＵアーム;
Diablos Guards U;Guardab. Diablos U;Gardes Diablos U;;Diablos-Armschutz U;ディアブロＵガード;
Tigrex Vambraces U;Brazales Tigrex U;Avant-bras Tigrex U;;Tigrex-Armschienen U;レックスＵアーム;
Tigrex Guards U;Guardab. Tigrex U;Gardes Tigrex U;;Tigrex-Armschutz U;レックスＵガード;
Agnaktor Vambraces U;Brazales Agnaktor U;Avt-bras Agnaktor U;;AgnaktorArmschienenU;アグナＵアーム;
Agnaktor Guards U;GUardab. Agnaktor U;Gardes Agnaktor U;;Agnaktor-Armschutz U;アグナＵガード;
Golden Lunebraces;Brazales Luna Dor.;Avt-bras Lune dorée;;Goldmond-Armschienen;ゴールドルナアーム;
Golden Luneguards;Guardab. Luna Dor.;Gardes Lune dorée;;Goldmond-Armschutz;ゴールドルナガード;
Silver Solbraces;Brazales Sol Plat.;Avt-bras Sol argenté;;Silbers.-Armschienen;シルバーソルアーム;
Silver Solguards;Guardab. Sol Plat.;Gardes Sol argenté;;Silbers.-Armschutz;シルバーソルガード;
Vangis Vambraces;Brazales Vangis;Avant-bras Vangis;;Vangis-Armschienen;バンギスアーム;
Vangis Guards;Guardab. Vangis;Gardes Vangis;;Vangis-Armschutz;バンギスガード;
Ranger's Gauntlets;Guanteletes Soldado (Maestro Espada);Gants gu. citadelle;;Ran.-Panzerhandschuh;城塞遊撃隊【手甲】;
Archer's Gauntlets;Guanteletes Soldado (Artillero);Gants arc citadelle;;Bog.-Panzerhandschuh;城塞弓撃隊【手甲】;
Guild Bard Braces S;Braz. cab. Gremio S;Gants de la guilde S;;Gild.-Armschienen S;ギルドバードＳアーム;
Guild Bard Sleeves S;Manga cab. Gremio S;Manches de la guilde S;;Gildenbarden-Ärmel S;ギルドバードＳカフス;
Scholar's Gloves S;Guantes Colegiala S;Gants guilde S ;;GelehrtenHandschuheS;スカラーＳグラブ;
Scholar's Sleeves S;Mangas Colegiala S;Manches guilde S;;Gelehrten-Ärmel S;スカラーＳカフス;
Mosgharl Creeper S;Rama Calabaza S (Maestro Espada);Gants sorcière S;;Magier-Rameau S;マギュルＳラーマ;
Mosgharl Creeper S;Rama Calabaza S (Maestro Espada);Gants sorcière S;;Magier-Rameau S;マギュルＳラーマ;
Mosgharl Tendril S;Rama Calabaza S (Artillero);Manches sorcière S;;Magier-Ast S;マギュルＳアスト;
Mosgharl Tendril S;Rama Calabaza S (Artillero);Manches sorcière S;;Magier-Ast S;マギュルＳアスト;
Viking Vambraces S;Brazales Pescado S;Avant-bras motard S;;Vaiku-Armschienen S;ヴァイクＳアーム;
Viking Guards S;Guardab. Pescado S;Gardes motard S;;Vaiku-Armschutz S;ヴァイクＳガード;
Aelucanth Brachia S;Brazal. Escarabajo S;Mano nécrologie S;;Rowagga-Mano S;ロワーガＳマーノ;
Aelucanth Manus S;Guard. Escarabajo S;Brasso nécrologie S;;Rowagga-Brasso S;ロワーガＳブラッソ;
Rhopessa Brachia S;Brazales Mariposa S;Mano papillon S;;Falmir-Mano S;ファルメルＳマーノ;
Rhopessa Manus S;Guardab. Mariposa S;Brasso papillon S;;Falmir-Brasso S;ファルメルＳブラッソ;
Artian Vambraces S;Brazales Atia S;Avant-bras Atia S;;Attia-Armschienen S;アーティアＳアーム;
Artian Guards S;Guardab. Atia S;Gardes Atia S;;Attia-Armschutz S;アーティアＳガード;
Dianthus Sleeves;Mangas Dianthus;Gants Dianthus;;Nelken-Ärmel;撫子【蕾袖】;
Bellflower Sleeves;Mangas Kikyo;Gants Kikyo;;Glockenblumen-Ärmel;桔梗【蕾袖】;
Damascus Vambraces;Brazales Damasco;Avt-bras Damascus;;Damaskus-Armschienen;ダマスクアーム;
Damascus Guards;Guardab. Damasco;Gardes Damascus;;Damaskus-Armschutz;ダマスクガード;
Grand Yamato Kote;Kote Yamato・Supremo;Gantelets Yamato S;;Yamato-Kote S;大和・覇【篭手】;
Grand Mutsu Kote;Kote Mutsu・Supremo;Gantelets Mutsu S;;Mutsu-Kote S;陸奥・覇【篭手】;
Grand Hyuga Kote;Kote Hyuga・Supremo;Gantelets Hinata S;;Hinata-Kote S;日向・覇【篭手】;
Grand Amagi Kote;Kote Amagi・Supremo;Gantelets Amagi S;;Amagi-Kote S;天城・覇【篭手】;
Dark Akantor Claw;Garra Akantor Oscu.;Griffe Akantor sombre;;SchwarzAkantor Klaue;アカムトサクンペ;
Dark Akantor Gauntlet;Guante Akantor Osc.;Gants Akantor sombre;;SchwarzAkantorSchutz;アカムトノキリペ;
Ukanlos Claw;Garra Ukanlos;Griffe Ukanlos sombre;;SchwarzUkanlos Klaue;ウカムルサクンペ;
Ukanlos Gauntlet;Guant. Ukanlos;Gants Ukanlos sombre;;SchwarzUkanlosSchutz;ウカムルノキリペ;
Escadora Arms;Brazos Escadora;Griffe Escadora;;Escadora-Waffe;エスカドラアムズ;
Escadora Arma;Aruma Escadora;Poing Escadora;;Escadora-Arma;エスカドラアルマ;
Storm Sleeves;Manga Tormenta;Gants Tempête;;Unwetter-Ärmel;荒天【袂】;
Sky Sleeves;Manga Cielo Azul;Gants Ciel Bleu;;Azurhimmel-Ärmel;蒼天【袂】;
Luxury Sweatbands;Banda de lujo Yuami;Bracelet des bains S;;Badhandgelenk S;高級ユアミリスト;
Chakra Bracelet;Anillos Trinidad;Bracelet trois yeux;;Chakra-Armband;三眼の腕輪;
Pirate J Gloves;Guantes Jolly Roger;Gants Pirate J;;Piraten-Handschuhe J;大海賊Ｊグラブ;
Pirate J Cuffs;Puños de Jolly Roger;Manches Pirate J;;Piraten-Ärmel J;大海賊Ｊカフス;
Snake Gloves;Guantes de Snake;Prise Snake;;Snake-Handschuhe;スネークグラブ;
Snake Arms;Brazales de Snake;Poigne Snake;;Snake-Armschienen;スネークアーム;
The Boss Gloves;Guantes The Boss;Prise The Boss;;The Boss-Handschuhe;ザ・ボスグラブ;
The Boss Arms;Brazales The Boss;Poigne The Boss;;The Boss-Armschienen;ザ・ボスアーム;
UNIQLO Gloves;Guantes UNIQLO (Maestro Espada);Gants UNIQLO;;UNIQLO-Ärmel;ユニクログローブ;
UNIQLO Cuffs;Guantes UNIQLO (Artillero);Bras UNIQLO;;UNIQLO-Handschuhe;ユニクログラブ;
