english;spanish;french;italian;german;japanese;chinese
Rhenoplos Greaves S;Grebas Rhenoplos S;Greves Rhenoplos S;;Rheno.-BeinschienenS;リノプロＳグリーヴ;
Rhenoplos Leggings S;Calzas Rhenoplos S;Chauss. Rhenoplos S;;Rhenoplos-GamaschenS;リノプロＳレギンス;
Jaggi Greaves S;Grebas Jaggi S;Greves Jaggi S;;Jaggi-Beinschienen S;ジャギィＳグリーヴ;
Jaggi Leggings S;Calzas Jaggi S;Cuissardes Jaggi S;;Jaggi-Gamaschen S;ジャギィＳレギンス;
Arzuros Greaves S;Grebas Aoashira S;Greves Aoashira S;;AoashiraBnschienenS;アシラＳグリーヴ;
Arzuros Leggings S;Calzas Aoashira S;Cuissardes Aoashira S;;Aoashira-Gamaschen S;アシラＳレギンス;
Wroggi Greaves S;Grebas Furogi S;Greves Froggi S;;Froggi-BeinschienenS;フロギィＳグリーヴ;
Wroggi Leggings S;Calzas Furogi S;Cuissardes Froggi S;;Froggi-Gamaschen S;フロギィＳレギンス;
Lagombi Greaves S;Grebas Urukususu S;Greves Urukususu S;;UlkususBeinschienenS;ウルクＳグリーヴ;
Lagombi Leggings S;Calzas Urukususu S;Cuiss. Urukususu S;;Ulkusus-Gamaschen S;ウルクＳレギンス;
Qurupeco Greaves S;Grebas Qurupeco S;Greves Qurupeco S;;QurupecoBnschienenS;ペッコＳグリーヴ;
Qurupeco Leggings S;Calzas Qurupeco S;Cuiss. Qurupeco S;;Qurupeco-Gamaschen S;ペッコＳレギンス;
Ludroth Greaves S;Grebas Ludroth S;Greves Ludroth S;;LudrothBeinschienenS;ルドロスＳグリーヴ;
Ludroth Leggings S;Calzas Ludroth S;Cuissardes Ludroth S;;Ludroth-Gamaschen S;ルドロスＳレギンス;
Barroth Greaves S;Grebas Barroth S;Greves Barroth S;;BarrothBeinschienenS;ボロスＳグリーヴ;
Barroth Leggings S;Calzas Barroth S;Cuissardes Barroth S;;Barroth-Gamaschen S;ボロスＳレギンス;
Ingot Greaves S;Grebas Lingote S;Greves lingot S;;Guss-Beinschienen S;インゴットＳグリーヴ;
Ingot Leggings S;Calzas Lingote S;Cuissardes lingot S;;Guss-Gamaschen S;インゴットＳレギンス;
Baggi Greaves S;Grebas Baggi S;Greves Baggi S;;Baggi-Beinschienen S;バギィＳグリーヴ;
Baggi Leggings S;Calzas Baggi S;Cuissardes Baggi S;;Baggi-Gamaschen S;バギィＳレギンス;
Volvidon Greaves S;Grebas Rangu. S;Greves Ranguro S;;Langro.BeinschienenS;ラングロＳグリーヴ;
Volvidon Leggings S;Calzas Rangu. S;Cuissardes Ranguro S;;LangrotoraGamaschenS;ラングロＳレギンス;
Rathian Greaves S;Grebas Rathian S;Greves Rathian S;;RathianBeinschienenS;レイアＳグリーヴ;
Rathian Leggings S;Calzas Rathian S;Cuissardes Rathian S;;Rathian-Gamaschen S;レイアＳレギンス;
Nibelsnarf Greaves S;Grebas Hapuru S;Greves Hapurubokka S;;Hapulb.BeinschienenS;ハプルＳグリーヴ;
Nibel Leggings S;Calzas Hapuru S;Cuiss. Hapurubokka S;;HapulbokkaGamaschenS;ハプルＳレギンス;
Gigginox Greaves S;Grebas Gigginox S;Greves Gigginox S;;GigginoxBnschienenS;ネブラＳグリーヴ;
Gigginox Leggings S;Calzas Gigginox S;Cuiss. Gigginox S;;Gigginox-Gamaschen S;ネブラＳレギンス;
Nargacuga Greaves S;Grebas Naruga S;Greves Nargacuga S;;Nargac.BeinschienenS;ナルガＳグリーヴ;
Nargacuga Leggings S;Calzas Naruga S;Cuiss. Nargacuga S;;Nargacuga-GamaschenS;ナルガＳレギンス;
Barioth Greaves S;Grebas Barioth S;Greves Barioth S;;BariothBeinschienenS;ベリオＳグリーヴ;
Barioth Leggings S;Calzas Barioth S;Cuissardes Barioth S;;Barioth-Gamaschen S;ベリオＳレギンス;
Rathalos Greaves S;Grebas Rathalos S;Greves Rathalos S;;RathalosBnschienenS;レウスＳグリーヴ;
Rathalos Leggings S;Calzas Rathalos S;Cuiss. Rathalos S;;Rathalos-Gamaschen S;レウスＳレギンス;
Uragaan Greaves S;Grebas Uragaan S;Greves Uragaan S;;UragaanBeinschienenS;ガンキンＳグリーヴ;
Uragaan Leggings S;Calzas Uragaan S;Cuissardes Uragaan S;;Uragaan-Gamaschen S;ガンキンＳレギンス;
Dober Greaves;Grebas Dober;Greves Dober;;Dober-Beinschienen;ドーベルグリーヴ;
Dober Leggings;Calzas Dober;Cuissardes Dober;;Dober-Gamaschen;ドーベルレギンス;
Zinogre  Greaves S;Grebas Jinuoga S;Greves Jinouga S;;JinougaBeinschienenS;ジンオウＳグリーヴ;
Zinogre Leggings S;Calzas Jinuoga S;Cuissardes Jinouga S;;Jinouga-Gamaschen S;ジンオウＳレギンス;
Diablos Greaves S;Grebas Diablos S;Greves Diablos S;;DiablosBeinschienenS;ディアブロＳグリーヴ;
Diablos Leggings S;Calzas Diablos S;Cuissardes Diablos S;;Diablos-Gamaschen S;ディアブロＳレギンス;
Tigrex Greaves S;Grebas Tigrex S;Greves Tigrex S;;Tigrex-BeinschienenS;レックスＳグリーヴ;
Tigrex Leggings S;Calzas Tigrex S;Cuissardes Tigrex S;;Tigrex-Gamaschen S;レックスＳレギンス;
Agnaktor Greaves S;Grebas Agnaktor S;Greves Agnaktor S;;AgnaktorBnschienenS;アグナＳグリーヴ;
Agnaktor Leggings S;Calzas Agnaktor S;Cuiss. Agnaktor S;;Agnaktor-Gamaschen S;アグナＳレギンス;
Duramboros Greaves S;Grebas Doboru S;Greves Doboru S;;Dobolb.BeinschienenS;ドボルＳグリーヴ;
Duramboros Leggings S;Calzas Doboru S;Cuissardes Doboru S;;Dobolbelk-GamaschenS;ドボルＳレギンス;
Qurupeco Greaves U;Grebas Qurupeco U;Greves Qurupeco U;;QurupecoBnschienenU;ペッコＵグリーヴ;
Qurupeco Leggings U;Calzas Qurupeco U;Cuiss. Qurupeco U;;Qurupeco-Gamaschen U;ペッコＵレギンス;
Ludroth Greaves U;Grebas Ludroth U;Greves Ludroth U;;LudrothBeinschienenU;ルドロスＵグリーヴ;
Ludroth Leggings U;Calzas Ludroth U;Cuissardes Ludroth U;;Ludroth-Gamaschen U;ルドロスＵレギンス;
Barroth Greaves U;Greabs Barroth U;Greves Barroth U;;BarrothBeinschienenU;ボロスＵグリーヴ;
Barroth Leggings U;Calzas Barroth U;Cuissardes Barroth U;;Barroth-Gamaschen U;ボロスＵレギンス;
Gigginox Greaves U;Grebas Gigginox U;Greves Gigginox U;;GigginoxBnschienenU;ネブラＵグリーヴ;
Gigginox Leggings U;Calzas Gigginox U;Cuiss. Gigginox U;;Gigginox-Gamaschen U;ネブラＵレギンス;
Nargacuga Greaves U;Grebas Naruga U;Greves Nargacuga U;;Nargac.BeinschienenU;ナルガＵグリーヴ;
Nargacuga Leggings U;Calzas Naruga U;Cuiss. Nargacuga U;;Nargacuga-GamaschenU;ナルガＵレギンス;
Barioth Greaves U;Grebas Barioth U;Greves Barioth U;;BariothBeinschienenU;ベリオＵグリーヴ;
Barioth Leggings U;Calzas Barioth U;Cuissardes Barioth U;;Barioth-Gamaschen U;ベリオＵレギンス;
Uragaan Greaves U;Grebas Uragaan U;Greves Uragaan U;;UragaanBeinschienenU;ガンキンＵグリーヴ;
Uragaan Leggings U;Calzas Uragaan U;Cuissardes Uragaan U;;Uragaan-Gamaschen U;ガンキンＵレギンス;
Diablos Greaves U;Grebas Diablos U;Greves Diablos U;;DiablosBeinschienenU;ディアブロＵグリーヴ;
Diablos Leggings U;Calzas Diablos U;Cuissardes Diablos U;;Diablos-Gamaschen U;ディアブロＵレギンス;
Tigrex Greaves U;Grebas Tigrex U;Greves Tigrex U;;Tigrex-BeinschienenU;レックスＵグリーヴ;
Tigrex Leggings U;Calzas Tigrex U;Cuissardes Tigrex U;;Tigrex-Gamaschen U;レックスＵレギンス;
Agnaktor Greaves U;Grebas Agnaktor U;Greves Agnaktor U;;AgnaktorBnschienenU;アグナＵグリーヴ;
Agnaktor Leggings U;Calzas Agnaktor U;Cuiss. Agnaktor U;;Agnaktor-Gamaschen U;アグナＵレギンス;
Golden Lunegreaves;Grebas Luna Dorada;Greves lune dorée;;GoldmondBeinschienen;ゴールドルナグリーヴ;
Golden Luneleggings;Calzas Luna Dorada;Cuiss. lune dorée;;Goldmond-Gamaschen;ゴールドルナレギンス;
Silver Solgreaves;Grebas Sol Plateada;Greves sol argenté;;SilbersonnenBnschien;シルバーソルグリーヴ;
Silver Solleggings;Calzas Sol Plateada;Cuiss. sol argenté;;SilbersonnenGmaschen;シルバーソルレギンス;
Vangis Greaves;Grebas Vangis;Greves Vangis;;Vangis-Beinschienen;バンギスグリーヴ;
Vangis Leggings;Calzas Vangis;Cuissardes Vangis;;Vangis-Gamaschen;バンギスレギンス;
Ranger's Espadrilles;Alpargatas Soldado (Maestro Espada);Pant. g. citadelle;;Ranger-Leinenschuhe;城塞遊撃隊【足袋】;
Archer's Espadrilles;Alpargatas Soldado (Artillero);Pant. arc citadelle;;Bogens.-Leinenschuhe;城塞弓撃隊【足袋】;
Guild Bard Boots S;Bot. guar. Gremio S;Bottes de guilde S;;GildenbardenStiefelS;ギルドバードＳブーツ;
Guild Bard Gaiters S;Leo. guar. Gremio S;Chauss. de guilde S;;GildenbardenStulpenS;ギルドバードＳフット;
Scholar's Socks S;Calcet. Colegiala S;Bottes guilde S;;Gelehrten-Socken S;スカラーＳソックス;
Scholar's Sandals S;Sandal. Colegiala S;Chauss. guilde S;;Gelehrten-Sandalen S;スカラーＳサンダル;
Mosgharl Roots S;Raíz Calabaza S (Maestro Espada);Bottes sorcière S;;Magier-Base S;マギュルＳライース;
Mosgharl Roots S;Raíz Calabaza S (Maestro Espada);Bottes sorcière S;;Magier-Base S;マギュルＳライース;
Mosgharl Radicals S;Raíz Calabaza S (Artillero);Chauss. sorcière S;;Magier-Pfahlwurzel S;マギュルＳヴルツェル;
Mosgharl Radicals S;Raíz Calabaza S (Artillero);Chauss. sorcière S;;Magier-Pfahlwurzel S;マギュルＳヴルツェル;
Viking Greaves S;Grebas Pescado S;Greves motard S;;Vaiku-Beinschienen S;ヴァイクＳグリーヴ;
Viking Leggings S;Calzas Pescado S;Cuissardes motard S;;Vaiku-Gamaschen S;ヴァイクＳレギンス;
Aelucanth Crura S;Grebas Escarabajo S;Gamba nécrologie S;;Rowagga-Gamba S;ロワーガＳガンバ;
Aelucanth Tarsi S;Calzas Escarabajo S;Femur nécrologie S;;Rowagga-Femur S;ロワーガＳフェムル;
Rhopessa Crura S;Grebas Mariposa S;Gamba papillon S;;Falmir-Gamba S;ファルメルＳガンバ;
Rhopessa Tarsi S;Calzas Mariposa S;Femur papillon S;;Falmir-Femur S;ファルメルＳフェムル;
Artian Greaves S;Grebas Atia S;Greves Atia S;;Attia-Beinschienen S;アーティアＳグリーヴ;
Artian Leggings S;Calzas Atia S;Cuissardes Atia S;;Attia-Gamaschen S;アーティアＳレギンス;
Dianthus Shoes;Hakama Dianthus;Bottes Dianthus;;Nelken-Hose;撫子【球袴】;
Bellflower Shoes;Hakama Kikyo;Bottes Kikyo;;Glockenblumen-Hose;桔梗【球袴】;
Damascus Greaves;Grebas Damasco;Greves Damascus;;DamaskusBeinschienen;ダマスクグリーヴ;
Damascus Leggings;Calzas Damasco;Cuissardes Damascus;;Damaskus-Gamaschen;ダマスクレギンス;
Grand Yamato Gusoku;Grebas Yamato・Supr;Pantalon Yamato S;;Yamato-Gusoku S;大和・覇【具足】;
Grand Mutsu Gusoku;Grebas Mutsu・Supr.;Pantalon Mutsu S;;Mutsu-Gusoku S;陸奥・覇【具足】;
Grand Hyuga Hakama;Hakama Hyuga・Supr.;Pantalon Hinata S;;Hinata-Hakama S;日向・覇【袴】;
Grand Amagi Hakama;Hakama Amagi・Supr.;Pantalon Amagi S;;Amagi-Hakama S;天城・覇【袴】;
Dark Akantor Hessian;Dobl. Akantor Osc.;Jute Akantor sombre;;SchwAkantor Hessian;アカムトケマル;
Dark Akantor Boots;Botas Akantor Osc.;Bot. Akantor sombre;;SchwAkantor Stiefel;アカムトチキル;
Ukanlos Hessian;Dobl. Ukanlos;Jute Ukanlos sombre;;SchwUkanlos Hessian;ウカムルケマル;
Ukanlos Boots;Botas Ukanlos;Bot. Ukanlos sombre;;SchwUkanlos Stiefel;ウカムルチキル;
Escadora Scale;Escama Escadora;Pieds Escadora;;Escadora-Schuppe;エスカドラスケル;
Escadora Scala;Suhcre Escadora;Jambes Escadora;;Escadora-Dunkel;エスカドラスクレ;
Storm Pants;Hakama Tormenta;Bottes tempête;;Unwetter-Hose;荒天【袴】;
Sky Leggings;Hakama Cielo Azul;Bottes ciel bleu;;Azurhimmel-Hose;蒼天【袴】;
Luxury Bath Sandals;Sand. de lujo Yuami;Sandales de bain;;Badesandelen S;高級ユアミサンダル;
Chakra Anklet;Tobilleras Trinidad;Sandales trois yeux;;Chakra-Fußring;三眼の足輪;
Black Leather Chaps;Pantal. negr. cuero (Maestro Espada);Jambes en cuir noir;;Schwarze Lederbeine;ブラックレザーレグス;
Black Leather Pants;Pantal. negr. cuero (Artillero);Pant. en cuir noir;;Schwarze Lederhose;ブラックレザーパンツ;
Pirate J Boots;Botas de Jolly Roger;Bottes pirate J;;Piraten-Stiefel J;大海賊Ｊブーツ;
Pirate J Pants;Pant. de Jolly Roger;Chaussures pirate J;;Piraten-Hose J;大海賊Ｊパンツ;
Snake Boots;Botas de Snake;Bottes Snake;;Snake-Stiefel;スネークブーツ;
Snake Shoes;Calzado de Snake;Chaussures Snake;;Snake-Hose;スネークフット;
The Boss Boots;Botas The Boss;Bottes the Boss;;The Boss-Stiefel;ザ・ボスブーツ;
The Boss Shoes;Calzado The Boss;Chaussures the Boss;;The Boss-Hose;ザ・ボスフット;
UNIQLO Cargo Pants;Pant. carga UNIQLO;Jambes UNIQLO;;UNIQLO-Kargohose;ユニクロカーゴパンツ;
UNIQLO Cut Pants;Pant. corte UNIQLO;Pantalon UNIQLO;;UNIQLO-Kurze Hose;ユニクロカットパンツ;
Bouya's Jeans;Jeans Inf. Cazador;Jambes Ya Kid;;Boy-Jeans;坊屋ジーンズ;
Bouya's Denims;Dril Inf. Cazador;Pantalon Ya Kid;;Boy-Denim;坊屋デニム;
Bouya's Jeans;Jeans Alma Cazador;Jambes Ya Kid;;Boy-Jeans;坊屋ジーンズ;
Bouya's Denims;Dril Alma Cazador;Pantalon Ya Kid;;Boy-Denim;坊屋デニム;
