english;spanish;french;italian;german;japanese;chinese
Nibelsnarf Braces;;Attelles Nibelsnarf;;Nibelsnarf-Armschie.;ハプルアーム;潜口龙腕甲
Nibelsnarf Guards;;Gardes Nibelsnarf;;Nibelsnarf-Armschutz;ハプルガード;潜口龙护手
Guild Bard Braces;;Attelles de barde;;Gildennb.-Armschienen;ギルドバードアーム;工会精英腕甲
Guild Bard Sleeves;;Manches de barde;;Gildenbarden-Ärmel;ギルドバードカフス;工会精英长袖
Scholar's Gloves;;Gants de clerc;;Gelehrten-Handschuhe;スカラーグラブ;店员手套
Scholar's Sleeves;;Manches de clerc;;Gelehrten-Ärmel;スカラーカフス;店员长袖
Lagiacrus Braces;;Attelles Lagiacrus;;LagiacrusArmschienen;ラギアアーム;海龙腕甲
Lagiacrus Guards;;Gardes Lagiacrus;;Lagiacrus-Armschutz;ラギアガード;海龙护手
Rathalos Vambraces;;Avant-bras Rathalos;;Rathalos-Armschutz;レウスアーム;雄火龙腕甲
Rathalos Guards;;Gardes Rathalos;;Rathalos Guards;レウスガード;雄火龙护手
Duramboros Braces;;Attelles Duramboros;;Duramboros-Armschie.;ドボルアーム;尾槌龙腕甲
Duramboros Guards;;Gardes Duramboros;;Duramboros-Armschutz;ドボルガード;尾槌龙护手
Diablos Vambraces;;Avant-bras Diablos;;Diablos-Armschienen;ディアブロアーム;角龙腕甲
Diablos Guards;;Gardes Diablos;;Diablos-Armschutz;ディアブロガード;角龙护手
Uragaan Vambraces;;Avant-bras Uragaan;;Uragaan-Armschienen;ガンキンアーム;爆锤龙腕甲
Uragaan Guards;;Gardes Uragaan;;Uragaan-Armschutz;ガンキンガード;爆锤龙护手
Agnaktor Vambraces;;Avant-bras Agnaktor;;Agnaktor-Armschienen;アグナアーム;炎戈龙腕甲
Agnaktor Guards;;Gardes Agnaktor;;Agnaktor-Armschutz;アグナガード;炎戈龙护手
Selene Vambraces;;Avt-bras Selene;;Selene-Armschienen;セレネアーム;月神腕甲
Selene Guards;;Gardes Selene;;Selene-Armschutz;セレネガード;月神护手
Helios Vambraces;;Avt-bras Helios;;Helios-Armschienen;ヘリオスアーム;太阳神腕甲
Helios Guards;;Gardes Helios;;Helios-Armschutz;ヘリオスガード;太阳神护手
Leather Vambraces S;;Avant-bras en cuir S;;Leder-Armschienen S;レザーＳアーム;轻皮腕甲Ｓ
Leather Guards S;;Gardes en cuir S;;Leder-Armschutz S;レザーＳガード;轻皮护手Ｓ
Yukumo Sky Kote;;Kote ciel Yukumo;;Yukumo-Himmel-Kote;ユクモノコテ・天;结云护手・天
Yukumo Land Kote;;Kote terre Yukumo;;Yukumo-Land-Kote;ユクモノコテ・地;结云护手・地
Chainmail Braces S;;Attelles en maille S;;Ketten-Armschienen S;チェーンＳアーム;锁链腕甲Ｓ
Chainmail Guards S;;Gardes en maille S;;Ketten-Armschutz S;チェーンＳガード;锁链护手Ｓ
Hunter's Vambraces S;;Avt-bras chasseur S;;Jäger-Armschienen S;ハンターＳアーム;猎人腕甲Ｓ
Hunter's Guards S;;Gardes de chasseur S;;Jäger-Armschutz S;ハンターＳガード;猎人护手Ｓ
Bone Vambraces S;;Avant-bras d'os S;;Knochen-Armschie. S;ボーンＳアーム;骨制腕甲Ｓ
Bone Guards S;;Gardes d'os S;;Knochen-Armschutz S;ボーンＳガード;骨制护手Ｓ
Alloy Vambraces S;;Avt-bras alliage S;;LegierungsArmschi.S;アロイＳアーム;合金腕甲Ｓ
Alloy Guards S;;Gardes en alliage S;;LegierungsArmschutzS;アロイＳガード;合金护手Ｓ
Bnahabra Gloves S;;Gants Bnahabra S;;BnahabraHandschuhe S;ブナハＳグローブ;飞甲虫腕甲Ｓ
Bnahabra Sleeves S;;Manches Bnahabra S;;Bnahabra-Ärmel S;ブナハＳカフス;飞甲虫长袖Ｓ
Rhenoplos Braces S;;Attelles Rhenoplos S;;Rhenoplos-Armschi. S;リノプロＳアーム;草食龙腕甲Ｓ
Rhenoplos Guards S;;Gardes Rhenoplos S;;RhenoplosArmschutz S;リノプロＳガード;草食龙护手Ｓ
Dianthus Sleeves;;Manches Dianthus;;Dianthus-Ärmel;撫子【蕾袖】;抚子【蕾袖】
Campanile Sleeves;;Manches Campanile;;Campanile-Ärmel;桔梗【蕾袖】;桔梗【蕾袖】
Jaggi Vambraces S;;Avant-bras Jaggi S;;Jaggi-Armschienen S;ジャギィＳアーム;狗龙腕甲Ｓ
Jaggi Guards S;;Gardes Jaggi S;;Jaggi-Armschutz S;ジャギィＳガード;狗龙护手Ｓ
Arzuros Vambraces S;;Avt-bras Arzuros S;;Arzuros-Armschie. S;アシラＳアーム;青熊兽腕甲Ｓ
Arzuros Guards S;;Gardes Arzuros S;;Arzuros-Armschutz S;アシラＳガード;青熊兽护手Ｓ
Wroggi Vambraces S;;Avt-bras Wroggi S;;Wroggi-Armschienen S;フロギィＳアーム;毒狗龙腕甲Ｓ
Wroggi Guards S;;Gardes Wroggi S;;Wroggi-Armschutz S;フロギィＳガード;毒狗龙护手Ｓ
Baggi Vambraces S;;Avt-bras Baggi S;;Baggi-Armschienen S;バギィＳアーム;眠狗龙腕甲Ｓ
Baggi Guards S;;Gardes Baggi S;;Baggi-Armschutz S;バギィＳガード;眠狗龙护手Ｓ
Lagombi Vambraces S;;Avt-bras Lagombi S;;Lagombi-Armschie. S;ウルクＳアーム;白兔兽腕甲Ｓ
Lagombi Guards S;;Gardes Lagombi S;;Lagombi-Armschutz S;ウルクＳガード;白兔兽护手Ｓ
Qurupeco Vambraces S;;Avt-bras Qurupeco S;;Qurupeco-Armschi.S;ペッコＳアーム;彩鸟腕甲Ｓ
Qurupeco Guards S;;Gardes Qurupeco S;;Qurupeco-Armschutz S;ペッコＳガード;彩鸟护手Ｓ
Qurupeco Vambraces U;;Avt-bras Qurupeco U;;Qurupeco-Armschie. U;ペッコＵアーム;红彩鸟腕甲Ｕ
Qurupeco Guards U;;Gardes Qurupeco U;;Qurupeco-Armschutz U;ペッコＵガード;红彩鸟护手Ｕ
Ludroth Vambraces S;;Avt-bras Ludroth S;;Ludroth-Armschie. S;ルドロスＳアーム;水兽腕甲Ｓ
Ludroth Guards S;;Gardes Ludroth S;;Ludroth-Armschutz S;ルドロスＳガード;水兽护手Ｓ
Ludroth Vambraces U;;Avt-bras Ludroth U;;Ludroth-Armschie. U;ルドロスＵアーム;紫水兽腕甲Ｕ
Ludroth Guards U;;Gardes Ludroth U;;Ludroth-Armschutz U;ルドロスＵガード;紫水兽护手Ｕ
Volvidon Vambraces S;;Avt-bras Volvidon S;;Volvidon-Armschie. S;ラングロＳアーム;赤甲兽腕甲Ｓ
Volvidon Guards S;;Gardes Volvidon S;;Volvidon-Armschutz S;ラングロＳガード;赤甲兽护手Ｓ
Aelucanth Brachia;;Brachia Aelucanth;;Aelucanth-Brachia;ロワーガマーノ;锹虫腕甲
Aelucanth Manus;;Manus Aelucanth;;Aelucanth-Manus;ロワーガブラッソ;锹虫护手
Rhopessa Brachia;;Brachia Rhopessa;;Rhopessa-Brachia;ファルメルマーノ;蝴蝶腕甲
Rhopessa Manus;;Manus Rhopessa;;Rhopessa-Manus;ファルメルブラッソ;蝴蝶护手
Artian Vambraces;;Avt-bras Artian;;Artian-Armschienen;アーティアアーム;神秘腕甲
Artian Guards;;Gardes Artian;;Artian-Armschutz;アーティアガード;神秘护手
Barroth Vambraces S;;Avt-bras Barroth S;;Barroth-Armschie. S;ボロスＳアーム;土砂龙腕甲Ｓ
Barroth Guards S;;Gardes Barroth S;;Barroth-Armschutz S;ボロスＳガード;土砂龙护手Ｓ
Barroth Vambraces U;;Avt-bras Barroth U;;Barroth-Armschie. U;ボロスＵアーム;冰碎龙腕甲Ｕ
Barroth Guards U;;Gardes Barroth U;;Barroth-Armschutz U;ボロスＵガード;冰碎龙护手Ｕ
Gobul Vambraces S;;Avt-bras Gobul S;;Gobul-Armschienen S;ガブルＳアーム;灯鱼龙腕甲Ｓ
Gobul Guards S;;Gardes Gobul S;;Gobul-Armschutz S;ガブルＳガード;灯鱼龙护手Ｓ
Mosgharl Creeper;;Tige Mosgharl;;Mosgharl-Rankengewächs;マギュルラーマ;南瓜手腕
Mosgharl Tendril;;Vrille Mosgharl;;Mosgharl-Ranke;マギュルアスト;南瓜护手
Guild Bard Braces S;;Attelles de barde S;;Gildenb.-Armschi. S;ギルドバードＳアーム;工会精英腕甲Ｓ
Guild Bard Sleeves S;;Manches de barde S;;Gildenbarden-Ärmel S;ギルドバードＳカフス;工会精英长袖Ｓ
Scholar's Gloves S;;Gants de clerc S;;GelehrtenHandschuhe S;スカラーＳグラブ;店员手套Ｓ
Scholar's Sleeves S;;Manches de clerc S;;GelehrtenÄrmel S;スカラーＳカフス;店员长袖Ｓ
Ingot Vambraces S;;Avt-bras Ingot S;;Guss-Armschienen S;インゴットＳアーム;高合金腕甲Ｓ
Ingot Guards S;;Gardes Ingot S;;Guss-Armschutz S;インゴットＳガード;高合金护手Ｓ
Rathian Vambraces S;;Avt-bras Rathian S;;Rathian-Armschie. S;レイアＳアーム;雌火龙腕甲Ｓ
Rathian Guards S;;Gardes Rathian S;;Rathian-Armschutz S;レイアＳガード;雌火龙护手Ｓ
Rath Heart Braces;;Attelles Coeur Rath;;Rath.-Herz-Armschie.;リオハートアーム;樱火龙腕甲
Rath Heart Guards;;Gardes Coeur Rath;;Rath.-Herz-Armschutz;リオハートガード;樱火龙护手
Gigginox Vambraces S;;Avt-bras Gigginox S;;Gigginox-Armschie. S;ネブラＳアーム;毒怪龙腕甲Ｓ
Gigginox Guards S;;Gardes Gigginox S;;Gigginox-Armschutz S;ネブラＳガード;毒怪龙护手Ｓ
Gigginox Vambraces U;;Avt-bras Gigginox U;;Gigginox-Armschie. U;ネブラＵアーム;电怪龙腕甲Ｕ
Gigginox Guards U;;Gardes Gigginox U;;Gigginox-Armschutz U;ネブラＵガード;电怪龙护手Ｕ
Plesioth Vambraces;;Avt-bras Plesioth;;Plesioth-Armschienen;ガノスアーム;水龙腕甲
Plesioth Guards;;Gardes Plesioth;;Plesioth-Armschutz;ガノスガード;水龙护手
Barioth Vambraces S;;Avt-bras Barioth S;;Barioth-Armschie. S;ベリオＳアーム;冰牙龙腕甲Ｓ
Barioth Guards S;;Gardes Barioth S;;Barioth-Armschutz S;ベリオＳガード;冰牙龙护手Ｓ
Barioth Vambraces U;;Avt-bras Barioth U;;Barioth-Armschie. U;ベリオＵアーム;风牙龙腕甲Ｕ
Barioth Guards U;;Gardes Barioth U;;Barioth-Armschutz U;ベリオＵガード;风牙龙护手Ｕ
Nibelsnarf Braces S;;At. Nibelsnarf S;;NibelsnarfArmschi. S;ハプルＳアーム;潜口龙腕甲Ｓ
Nibelsnarf Guards S;;Gardes Nibelsnarf S;;NibelsnarfArmschutzS;ハプルＳガード;潜口龙护手Ｓ
Nargacuga Braces;;Attelles Nargacuga;;Nargacuga-Armschie.;ナルガアーム;迅龙腕甲
Nargacuga Guards;;Gardes Nargacuga;;Nargacuga-Armschutz;ナルガガード;迅龙护手
Lagiacrus Braces S;;Attelles Lagiacrus S;;LagiacrusArmschie. S;ラギアＳアーム;海龙腕甲Ｓ
Lagiacrus Guards S;;Gardes Lagiacrus S;;LagiacrusArmschutz S;ラギアＳガード;海龙护手Ｓ
Lagiacrus Braces U;;Attelles Lagiacrus U;;LagiacrusArmschie. U;ラギアＵアーム;白海龙腕甲Ｕ
Lagiacrus Guards U;;Gardes Lagiacrus U;;LagiacrusArmschutz U;ラギアＵガード;白海龙护手Ｕ
Rathalos Vambraces S;;Avt-bras Rathalos S;;RathalosArmschie. S;レウスＳアーム;雄火龙腕甲Ｓ
Rathalos Guards S;;Gardes Rathalos S;;RathalosArmschutz S;レウスＳガード;雄火龙护手Ｓ
Rath Soul Braces;;Attelles Âme Rath;;Rath.-Seelenschiene;リオソウルアーム;苍火龙腕甲
Rath Soul Guards;;Gardes Âme Rath;;Rath.-Seelenschutz;リオソウルガード;苍火龙护手
Zinogre Vambraces;;Avt-bras Zinogre;;Zinogre-Armschienen;ジンオウアーム;雷狼龙腕甲
Zinogre Guards;;Gardes Zinogre;;Zinogre-Armschutz;ジンオウガード;雷狼龙护手
Brachydios Braces;;Attelles Brachydios;;Brachydios-Armschie.;ブラキアーム;碎龙腕甲
Brachydios Guards;;Gardes Brachydios;;Brachydios-Armschutz;ブラキガード;碎龙护手
Duramboros Braces S;;At. Duramboros S;;DuramborosArmschi. S;ドボルＳアーム;尾槌龙腕甲Ｓ
Duramboros Guards S;;Gardes Duramboros S;;DuramborosArmschutz S;ドボルＳガード;尾槌龙护手Ｓ
Ranger's Gauntlets;;Gantelets de ranger;;Ran.-Panzerhandschuh;城塞遊撃隊【手甲】;城塞游击队【手甲】
Archer's Gauntlets;;Gantelets d'archer;;Bog.-Panzerhandschuh;城塞弓撃隊【手甲】;城塞弓击队【手甲】
Dober Vambraces;;Avt-bras Dober;;Dober-Armschienen;ドーベルアーム;远古龙腕甲
Dober Guards;;Gardes Dober;;Dober-Armschutz;ドーベルガード;远古龙护手
Diablos Vambraces S;;Avt-bras Diablos S;;Diablos-Armschie. S;ディアブロＳアーム;角龙腕甲Ｓ
Diablos Guards S;;Gardes Diablos S;;Diablos-Armschutz S;ディアブロＳガード;角龙护手Ｓ
Diablos Vambraces U;;Avt-bras Diablos U;;Diablos-Armschie. U;ディアブロＵアーム;黑角龙腕甲Ｕ
Diablos Guards U;;Gardes Diablos U;;Diablos-Armschutz U;ディアブロＵガード;黑角龙护手Ｕ
Agnaktor Vambraces S;;Avt-bras Agnaktor S;;Agnaktor-Armschie. S;アグナＳアーム;炎戈龙腕甲Ｓ
Agnaktor Guards S;;Gardes Agnaktor S;;Agnaktor-Armschutz S;アグナＳガード;炎戈龙护手Ｓ
Agnaktor Vambraces U;;Avt-bras Agnaktor U;;Agnaktor-Armschie. U;アグナＵアーム;冻戈龙腕甲Ｕ
Agnaktor Guards U;;Gardes Agnaktor U;;Agnaktor-Armschutz U;アグナＵガード;冻戈龙护手Ｕ
Uragaan Vambraces S;;Avt-bras Uraagan S;;Uragaan-Armschie. S;ガンキンＳアーム;爆锤龙腕甲Ｓ
Uragaan Guards S;;Gardes Uraagan S;;Uragaan-Armschutz S;ガンキンＳガード;爆锤龙护手Ｓ
Uragaan Vambraces U;;Avt-bras Uraagan U;;Uragaan-Armschie. U;ガンキンＵアーム;钢锤龙腕甲Ｕ
Uragaan Guards U;;Gardes Uraagan U;;Uragaan-Armschutz U;ガンキンＵガード;钢锤龙护手Ｕ
Damascus Vambraces;;Avant-bras Damascus;;Damaskus-Armschienen;ダマスクアーム;金属镶嵌腕甲
Damascus Guards;;Gardes Damascus;;Damaskus-Armschutz;ダマスクガード;金属镶嵌护手
Yamato Kote;;Yamato Kote;;Yamato-Kote;大和【篭手】;大和【护手】
Mutsu Kote;;Mutsu Kote;;Mutsu-Kote;陸奥【篭手】;陆奥【护手】
Hyuga Kote;;Hyuga Kote;;Hyuga-Kote;日向【篭手】;日向【护手】
Amagi Kote;;Amagi Kote;;Amagi-Kote;天城【篭手】;天城【护手】
Vangis Vambraces;;Avant-bras Vangis;;Vangis-Armschienen;バンギスアーム;恐暴龙腕甲
Vangis Guards;;Gardes Vangis;;Vangis-Armschutz;バンギスガード;恐暴龙护手
Escadora Arms;;Escadora Arms;;Escadora-Waffe;エスカドラアムズ;煌黑龙之腕甲
Escadora Arma;;Escadora Arma;;Escadora-Arma;エスカドラアルマ;煌黑龙之手腕
Pirate Gloves J;;Jolly Roger Gloves;;Jolly Roger Gloves;大海賊Ｊグラブ;大海盗Ｊ手套
Pirate Cuffs J;;Jolly Roger Cuffs;;Jolly Roger Cuffs;大海賊Ｊカフス;大海盗Ｊ长袖
Bnahabra Gloves X;;Gants Bnahabra X;;BnahabraHandschuhe X;ブナハＸグローブ;飞甲虫手套Ｘ
Bnahabra Sleeves X;;Manches Bnahabra X;;Bnahabra-Ärmel X;ブナハＸカフス;飞甲虫长袖Ｘ
Rhenoplos Braces X;;Attelles Rhenoplos X;;RhenoplosArmschi. X;リノプロＸアーム;草食龙腕甲Ｘ
Rhenoplos Guards X;;Gardes Rhenoplos X;;RhenoplosArmschutz X;リノプロＸガード;草食龙护手Ｘ
Chakra Bracelet;;Bracelet Chakra;;Chakra-Armband;三眼の腕輪;三眼腕轮
Mosgharl Creeper X;;Tige Mosgharl X;;MosgharlRankengewächsX;マギュルＸラーマ;南瓜手腕Ｘ
Mosgharl Tendril X;;Vrille Mosgharl X;;Mosgharl-Ranke X;マギュルＸアスト;南瓜护手Ｘ
Jaggi Vambraces X;;Avt-bras Jaggi X;;Jaggi-Armschienen X;ジャギィＸアーム;狗龙腕甲Ｘ
Jaggi Guards X;;Gardes Jaggi X;;Jaggi-Armschutz X;ジャギィＸガード;狗龙护手Ｘ
Baggi Vambraces X;;Avt-bras Baggi X;;Baggi-Armschienen X;バギィＸアーム;眠狗龙腕甲Ｘ
Baggi Guards X;;Gardes Baggi X;;Baggi-Armschutz X;バギィＸガード;眠狗龙护手Ｘ
Wroggi Vambraces X;;Avt-bras Wroggi X;;Wroggi-Armschienen X;フロギィＸアーム;毒狗龙腕甲Ｘ
Wroggi Guards X;;Gardes Wroggi X;;Wroggi-Armschutz X;フロギィＸガード;毒狗龙护手Ｘ
Arzuros Vambraces X;;Avt-bras Arzuros X;;Arzuros-Armschie. X;アシラＸアーム;青熊兽腕甲Ｘ
Arzuros Guards X;;Gardes Arzuros X;;Arzuros-Armschutz X;アシラＸガード;青熊兽护手Ｘ
Lagombi Vambraces X;;Avt-bras Lagombi X;;Lagombi-Armschie. X;ウルクＸアーム;白兔兽腕甲Ｘ
Lagombi Guards X;;Gardes Lagombi X;;Lagombi-Armschutz X;ウルクＸガード;白兔兽护手Ｘ
Volvidon Vambraces X;;Avt-bras Volvidon X;;Volvidon-Armschie. X;ラングロＸアーム;赤甲兽腕甲Ｘ
Volvidon Guards X;;Gardes Volvidon X;;Volvidon-Armschutz X;ラングロＸガード;赤甲兽护手Ｘ
Ingot Vambraces X;;Avt-bras Ingot X;;Guss-Armschienen X;インゴットＸアーム;高合金腕甲Ｘ
Ingot Guards X;;Gardes Ingot X;;Guss-Armschutz X;インゴットＸガード;高合金护手Ｘ
Dianthus Wealcuffs;;Manchettes Dianthus;;DianthusGunstmansch.;撫子・華【蕾袖】;抚子・华【蕾袖】
Campanile Wealcuffs;;Manchettes Campanile;;CampanileGunstmansch;桔梗・華【蕾袖】;桔梗・华【蕾袖】
Sailor Gloves;;Gants de marin;;Matrosen-Handschuhe;セイラーグラブ;水手服手套
Sailor Sleeves;;Manches de marin;;Matrosen-Ärmel;セイラーカフス;水手服长袖
Qurupeco Vambraces X;;Avt-bras Qurupeco X;;Qurupeco-Armschie. X;ペッコＸアーム;彩鸟腕甲Ｘ
Qurupeco Guards X;;Gardes Qurupeco X;;Qurupeco-Armschutz X;ペッコＸガード;彩鸟护手Ｘ
Qurupeco Vambraces Z;;Avt-bras Qurupeco Z;;Qurupeco-Armschie. Z;ペッコＺアーム;红彩鸟腕甲Ｚ
Qurupeco Guards Z;;Gardes Qurupeco Z;;Qurupeco-Armschutz Z;ペッコＺガード;红彩鸟护手Ｚ
Ludroth Vambraces X;;Avt-bras Ludroth X;;Ludroth-Armschie. X;ルドロスＸアーム;水兽腕甲Ｘ
Ludroth Guards X;;Gardes Ludroth X;;Ludroth-Armschutz X;ルドロスＸガード;水兽护手Ｘ
Ludroth Vambraces Z;;Avt-bras Ludroth Z;;Ludroth-Armschie. Z;ルドロスＺアーム;紫水兽腕甲Ｚ
Ludroth Guards Z;;Gardes Ludroth Z;;Ludroth-Armschutz Z;ルドロスＺガード;紫水兽护手Ｚ
Artian Vambraces X;;Avt-bras Artian X;;Artian-Armschienen X;アーティアＸアーム;神秘腕甲Ｘ
Artian Guards X;;Gardes Artian X;;Artian-Armschutz X;アーティアＸガード;神秘护手Ｘ
Plesioth Vambraces X;;Avt-bras Plesioth X;;Plesioth-Armschie. X;ガノスＸアーム;水龙腕甲Ｘ
Plesioth Guards X;;Gardes Plesioth X;;Plesioth-Armschutz X;ガノスＸガード;水龙护手Ｘ
Plesioth Vambraces Z;;Avt-bras Plesioth Z;;Plesioth-Armschie. Z;ガノスＺアーム;翠水龙腕甲Ｚ
Plesioth Guards Z;;Gardes Plesioth Z;;Plesioth-Armschutz Z;ガノスＺガード;翠水龙护手Ｚ
Rathian Vambraces X;;Avt-bras Rathian X;;Rathian-Armschie. X;レイアＸアーム;雌火龙腕甲Ｘ
Rathian Guards X;;Gardes Rathian X;;Rathian-Armschutz X;レイアＸガード;雌火龙护手Ｘ
Rath Heart Braces Z;;Attelles Cœur Rath Z;;Rath.HerzArmschie. Z;リオハートＺアーム;樱火龙腕甲Ｚ
Rath Heart Guards Z;;Gardes Coeur Rath Z;;Rath.HerzArmschutz Z;リオハートＺガード;樱火龙护手Ｚ
Guild Bard Braces X;;Attelles de barde X;;Gildenb.ArmschienenX;ギルドバードＸアーム;工会精英腕甲Ｘ
Guild Bard Sleeves X;;Manches de barde X;;Gildenbarden-Ärmel X;ギルドバードＸカフス;工会精英长袖Ｘ
Scholar's Gloves X;;Gants de clerc X;;GelehrtenHandschuheX;スカラーＸグラブ;店员手套Ｘ
Scholar's Sleeves X;;Manches de clerc X;;Gelehrten-Ärmel X;スカラーＸカフス;店员长袖Ｘ
Strider's Gauntlets;;Gantelets de rôdeur;;StreicherPanzerhdsch;城塞特攻隊【手甲】;城塞特攻队【手甲】
Deadeye's Gauntlets;;Gantelets mortels;;ZielwasserPnzrhndsch;城塞隠密隊【手甲】;城塞隐密队【手甲】
Barioth Vambraces X;;Avt-bras Barioth X;;Barioth-Armschie. X;ベリオＸアーム;冰牙龙腕甲Ｘ
Barioth Guards X;;Gardes Barioth X;;Barioth-Armschutz X;ベリオＸガード;冰牙龙护手Ｘ
Barioth Vambraces Z;;Avt-bras Barioth Z;;Barioth-Armschie. Z;ベリオＺアーム;风牙龙腕甲Ｚ
Barioth Guards Z;;Gardes Barioth Z;;Barioth-Armschutz Z;ベリオＺガード;风牙龙护手Ｚ
Barroth Vambraces X;;Avt-bras Barroth X;;Barroth-Armschie. X;ボロスＸアーム;土砂龙腕甲Ｘ
Barroth Guards X;;Gardes Barroth X;;Barroth-Armschutz X;ボロスＸガード;土砂龙护手Ｘ
Barroth Vambraces Z;;Avt-bras Barroth Z;;Barroth-Armschie. Z;ボロスＺアーム;冰碎龙腕甲Ｚ
Barroth Guards Z;;Gardes Barroth Z;;Barroth-Armschutz Z;ボロスＺガード;冰碎龙护手Ｚ
Gobul Vambraces X;;Avt-bras Gobul X;;Gobul-Armschienen X;ガブルＸアーム;灯鱼龙腕甲Ｘ
Gobul Guards X;;Gardes Gobul X;;Gobul-Armschutz X;ガブルＸガード;灯鱼龙护手Ｘ
Gigginox Vambraces X;;Avt-bras Gigginox X;;Gigginox-Armschie. X;ネブラＸアーム;毒怪龙腕甲Ｘ
Gigginox Guards X;;Gardes Gigginox X;;Gigginox-Armschutz X;ネブラＸガード;毒怪龙护手Ｘ
Gigginox Vambraces Z;;Avt-bras Gigginox Z;;Gigginox-Armschie. Z;ネブラＺアーム;电怪龙腕甲Ｚ
Gigginox Guards Z;;Gardes Gigginox Z;;Gigginox-Armschutz Z;ネブラＺガード;电怪龙护手Ｚ
Nibelsnarf Braces X;;At. Nibelsnarf X;;NibelsnarfArmschi. X;ハプルＸアーム;潜口龙腕甲Ｘ
Nibelsnarf Guards X;;Gardes Nibelsnarf X;;NibelsnarfArmschutzX;ハプルＸガード;潜口龙护手Ｘ
