english;spanish;french;italian;german;japanese;chinese
Wroggi Greaves;;Grèves Wroggi;;Wroggi-Beinschienen;フロギィグリーヴ;毒狗龙重靴
Wroggi Leggings;;Cuissardes Wroggi;;Wroggi-Gamaschen;フロギィレギンス;毒狗龙轻靴
Qurupeco Greaves;;Grèves Qurupeco;;Qurupeco-Beinschienen;ペッコグリーヴ;彩鸟重靴
Qurupeco Leggings;;Cuissardes Qurupeco;;Qurupeco-Gamaschen;ペッコレギンス;彩鸟轻靴
Ludroth Greaves;;Grèves Ludroth;;Ludroth-Beinschienen;ルドロスグリーヴ;水兽重靴
Ludroth Leggings;;Cuissardes Ludroth;;Ludroth-Gamaschen;ルドロスレギンス;水兽轻靴
Baggi Greaves;;Grèves Baggi;;Baggi-Beinschienen;バギィグリーヴ;眠狗龙重靴
Baggi Leggings;;Cuissardes Baggi;;Baggi-Gamaschen;バギィレギンス;眠狗龙轻靴
Lagombi Greaves;;Grèves Lagombi;;Lagombi-Beinschienen;ウルクグリーヴ;白兔兽重靴
Lagombi Leggings;;Cuissardes Lagombi;;Lagombi-Gamaschen;ウルクレギンス;白兔兽轻靴
Barroth Greaves;;Grèves Barroth;;Barroth-Beinschienen;ボロスグリーヴ;土砂龙重靴
Barroth Leggings;;Cuissardes Barroth;;Barroth-Gamaschen;ボロスレギンス;土砂龙轻靴
Volvidon Greaves;;Grèves Volvidon;;Volvidon-Beinschie.;ラングログリーヴ;赤甲兽重靴
Volvidon Leggings;;Cuissardes Volvidon;;Volvidon-Gamaschen;ラングロレギンス;赤甲兽轻靴
Gobul Greaves;;Grèves Gobul;;Gobul-Beinschienen;ガブルグリーヴ;灯鱼龙重靴
Gobul Leggings;;Cuissardes Gobul;;Gobul-Gamaschen;ガブルレギンス;灯鱼龙轻靴
Rathian Greaves;;Grèves Rathian;;Rathian-Beinschienen;レイアグリーヴ;雌火龙重靴
Rathian Leggings;;Cuissardes Rathian;;Rathian-Gamaschen;レイアレギンス;雌火龙轻靴
Gigginox Greaves;;Grèves Gigginox;;GigginoxBeinschienen;ネブラグリーヴ;毒怪龙重靴
Gigginox Leggings;;Cuissardes Gigginox;;Gigginox-Gamaschen;ネブラレギンス;毒怪龙轻靴
Ingot Greaves;;Grèves en lingot;;Guss-Beinschienen;インゴットグリーヴ;高合金重靴
Ingot Leggings;;Cuissardes en lingot;;Guss-Gamaschen;インゴットレギンス;高合金轻靴
Barioth Greaves;;Grèves Barioth;;Barioth-Beinschienen;ベリオグリーヴ;冰牙龙重靴
Barioth Leggings;;Cuissardes;;Barioth-Gamaschen;ベリオレギンス;冰牙龙轻靴
Nibelsnarf Greaves;;Grèves Nibelsnarf;;NibelsnarfBeinschie.;ハプルグリーヴ;潜口龙重靴
Nibelsnarf Leggings;;Cuiss. Nibelsnarf;;Nibelsnarf-Gamaschen;ハプルレギンス;潜口龙轻靴
Guild Bard Boots;;Bottes de barde;;Gildenbarden-Stiefel;ギルドバードブーツ;工会精英皮靴
Guild Bard Gaiters;;Guêtres de barde;;Gildenbarden-Stulpen;ギルドバードフット;工会精英足甲
Scholar's Socks;;Chaussettes de clerc;;Gelehrten-Socken;スカラーソックス;店员短袜
Scholar's Sandals;;Sandales de clerc;;Gelehrten-Sandalen;スカラーサンダル;店员凉鞋
Lagiacrus Greaves;;Grèves Lagiacrus;;Lagiac.Beinschienen;ラギアグリーヴ;海龙重靴
Lagiacrus Leggings;;Cuissardes Lagiacrus;;Lagiacrus-Gamaschen;ラギアレギンス;海龙轻靴
Rathalos Greaves;;Grèves Rathalos;;RathalosBeinschienen;レウスグリーヴ;雄火龙重靴
Rathalos Leggings;;Cuissardes Rathalos;;Rathalos-Gamaschen;レウスレギンス;雄火龙轻靴
Duramboros Greaves;;Grèves Duramboros;;DuramborosBeinschie.;ドボルグリーヴ;尾槌龙重靴
Duramboros Leggings;;Cuiss. Duramboros;;Duramboros-Gamaschen;ドボルレギンス;尾槌龙轻靴
Diablos Greaves;;Grèves Diablos;;Diablos-Beinschienen;ディアブログリーヴ;角龙重靴
Diablos Leggings;;Cuissardes Diablos;;Diablos-Gamaschen;ディアブロレギンス;角龙轻靴
Uragaan Greaves;;Grèves Uragaan;;Uragaan-Beinschienen;ガンキングリーヴ;爆锤龙重靴
Uragaan Leggings;;Cuissardes Uragaan;;Uragaan-Gamaschen;ガンキンレギンス;爆锤龙轻靴
Agnaktor Greaves;;Grèves Agnaktor;;AgnaktorBeinschienen;アグナグリーヴ;炎戈龙重靴
Agnaktor Leggings;;Cuissardes Agnaktor;;AgnaktorGamaschen;アグナレギンス;炎戈龙轻靴
Helios Greaves;;Grèves Helios;;Helios-Beinschienen;ヘリオスグリーヴ;太阳神重靴
Helios Leggings;;Cuissardes Helios;;Helios-Gamaschen;ヘリオスレギンス;太阳神轻靴
Selene Greaves;;Grèves Selene;;Selene-Beinschienen;セレネグリーヴ;月神重靴
Selene Leggings;;Cuissardes Selene;;Selene-Gamaschen;セレネレギンス;月神轻靴
Leather Greaves S;;Grèves en cuir S;;Leder-Beinschienen S;レザーＳグリーヴ;轻皮重靴Ｓ
Leather Leggings S;;Cuissardes en cuir S;;Leder-Gamaschen S;レザーＳレギンス;轻皮轻靴Ｓ
Yukumo Sky Hakama;;Hakama ciel Yukumo;;Yukumo-Himmel-Hakama;ユクモノハカマ・天;结云袴・天
Yukumo Land Hakama;;Hakama terre Yukumo;;Yukumo-Land-Hakama;ユクモノハカマ・地;结云袴・地
Chainmail Greaves S;;Grèves en maille S;;KettenBeinschienen S;チェーンＳグリーヴ;锁链重靴Ｓ
Chainmail Leggings S;;Cuiss. en maille S;;Ketten-Gamaschen S;チェーンＳレギンス;锁链轻靴Ｓ
Loc Lac Boots S;;Bottes de Loc Lac S;;Loc-Lac-Stiefel S;ロックラックＳブーツ;洛克拉克皮靴Ｓ
Loc Lac Gaiters S;;Guêtres de Loc Lac S;;Loc-Lac-Stulpen S;ロックラックＳフット;洛克拉克足甲Ｓ
Hunter's Greaves S;;Grèves de chasseur S;;Jäger-Beinschienen S;ハンターＳグリーヴ;猎人重靴Ｓ
Hunter's Leggings S;;Cuiss. de chasseur S;;Jäger-Gamaschen S;ハンターＳレギンス;猎人轻靴Ｓ
Piscine Breeches S;;Culottes nageur S;;Fisch-Kniehose S;モガピスカＳフィン;莫伽海之裤子Ｓ
Piscine Leggings S;;Cuissardes nageur S;;Fisch-Gamaschen S;モガピスカＳスクリ;莫伽海之轻靴Ｓ
Bone Greaves S;;Grèves d'os S;;KnochenBeinschienenS;ボーンＳグリーヴ;骨制重靴Ｓ
Bone Leggings S;;Cuissardes d'os S;;Knochen-Gamaschen S;ボーンＳレギンス;骨制轻靴Ｓ
Alloy Greaves S;;Grèves en alliage S;;LegierungBeinschi. S;アロイＳグリーヴ;合金重靴Ｓ
Alloy Leggings S;;Cuissardes alliage S;;LegierungsGamaschenS;アロイＳレギンス;合金轻靴Ｓ
Bnahabra Boots S;;Bottes Bnahabra S;;Bnahabra-Stiefel S;ブナハＳブーツ;飞甲虫皮靴Ｓ
Bnahabra Pants S;;Pantalon Bnahabra S;;Bnahabra-Hose S;ブナハＳフット;飞甲虫具足Ｓ
Rhenoplos Greaves S;;Grèves Rhenoplos S;;RhenoplosBeinschi. S;リノプロＳグリーヴ;草食龙重靴Ｓ
Rhenoplos Leggings S;;Cuiss. Rhenoplos S;;RhenoplosGamaschen S;リノプロＳレギンス;草食龙轻靴Ｓ
Dianthus Breeches;;Culottes Dianthus;;Dianthus-Kniehose;撫子【球袴】;抚子【球袴】
Campanile Breeches;;Culottes Campanile;;Campanile-Kniehose;桔梗【球袴】;桔梗【球袴】
Jaggi Greaves S;;Grèves Jaggi S;;Jaggi-Beinschienen S;ジャギィＳグリーヴ;狗龙重靴Ｓ
Jaggi Leggings S;;Cuissardes Jaggi S;;Jaggi-Gamaschen S;ジャギィＳレギンス;狗龙轻靴Ｓ
Arzuros Greaves S;;Grèves Arzuros S;;Arzuros-Beinschie. S;アシラＳグリーヴ;青熊兽重靴Ｓ
Arzuros Leggings S;;Cuissardes Arzuros S;;Arzuros-Gamaschen S;アシラＳレギンス;青熊兽轻靴Ｓ
Wroggi Greaves S;;Grèves Wroggi S;;Wroggi-Beinschie. S;フロギィＳグリーヴ;毒狗龙重靴Ｓ
Wroggi Leggings S;;Cuissardes Wroggi S;;Wroggi-Gamaschen S;フロギィＳレギンス;毒狗龙轻靴Ｓ
Baggi Greaves S;;Grèves Baggi S;;Baggi-Beinschienen S;バギィＳグリーヴ;眠狗龙重靴Ｓ
Baggi Leggings S;;Cuissardes Baggi S;;Baggi-Gamaschen S;バギィＳレギンス;眠狗龙轻靴Ｓ
Lagombi Greaves S;;Grèves Lagombi S;;Lagombi-Beinschie. S;ウルクＳグリーヴ;白兔兽重靴Ｓ
Lagombi Leggings S;;Cuissardes Lagombi S;;Lagombi-Gamaschen S;ウルクＳレギンス;白兔兽轻靴Ｓ
Qurupeco Greaves S;;Grèves Qurupeco S;;QurupecoBeinschie. S;ペッコＳグリーヴ;彩鸟重靴Ｓ
Qurupeco Leggings S;;Cuiss. Qurupeco S;;Qurupeco-Gamaschen S;ペッコＳレギンス;彩鸟轻靴Ｓ
Qurupeco Greaves U;;Grèves Qurupeco U;;QurupecoBeinschie. U;ペッコＵグリーヴ;红彩鸟重靴Ｕ
Qurupeco Leggings U;;Cuiss. Qurupeco U;;Qurupeco-Gamaschen U;ペッコＵレギンス;红彩鸟轻靴Ｕ
Ludroth Greaves S;;Grèves Ludroth S;;Ludroth-Beinschie. S;ルドロスＳグリーヴ;水兽重靴Ｓ
Ludroth Leggings S;;Cuiss. Ludroth S;;Ludroth-Gamaschen S;ルドロスＳレギンス;水兽轻靴Ｓ
Ludroth Greaves U;;Grèves Ludroth U;;Ludroth-Beinschie. U;ルドロスＵグリーヴ;紫水兽重靴Ｕ
Ludroth Leggings U;;Cuiss. Ludroth U;;Ludroth-Gamaschen U;ルドロスＵレギンス;紫水兽轻靴Ｕ
Volvidon Greaves S;;Grèves Volvidon S;;VolvidonBeinschie. S;ラングロＳグリーヴ;赤甲兽重靴Ｓ
Volvidon Leggings S;;Cuiss. Volvidon S;;Volvidon-Gamaschen S;ラングロＳレギンス;赤甲兽轻靴Ｓ
Aelucanth Crura;;Jambe Aelucanth;;Aelucanth-Schenkel;ロワーガガンバ;锹虫重靴
Aelucanth Tarsi;;Patte Aelucanth;;Aelucanth-Tarsi;ロワーガフェムル;锹虫轻靴
Rhopessa Crura;;Jambe Rhopessa;;Rhopessa-Schenkel;ファルメルガンバ;蝴蝶重靴
Rhopessa Tarsi;;Patte Rhopessa;;Rhopessa-Tarsi;ファルメルフェムル;蝴蝶轻靴
Artian Greaves;;Grèves Artian;;Artian-Beinschienen;アーティアグリーヴ;神秘重靴
Artian Leggings;;Cuissardes Artian;;Artian-Gamaschen;アーティアレギンス;神秘轻靴
Barroth Greaves S;;Grèves Barroth S;;Barroth-Beinschie. S;ボロスＳグリーヴ;土砂龙重靴Ｓ
Barroth Leggings S;;Cuissardes Barroth S;;Barroth-Gamaschen S;ボロスＳレギンス;土砂龙轻靴Ｓ
Barroth Greaves U;;Grèves Barroth U;;Barroth-Beinschie. U;ボロスＵグリーヴ;冰碎龙重靴Ｕ
Barroth Leggings U;;Cuissardes Barroth U;;Barroth-Gamaschen U;ボロスＵレギンス;冰碎龙轻靴Ｕ
Gobul Greaves S;;Grèves Gobul S;;Gobul-Beinschienen S;ガブルＳグリーヴ;灯鱼龙重靴Ｓ
Gobul Leggings S;;Cuissardes Gobul S;;Gobul-Gamaschen S;ガブルＳレギンス;灯鱼龙轻靴Ｓ
Mosgharl Roots;;Racines Mosgharl;;Mosgharl-Wurzeln;マギュルライース;南瓜重足
Mosgharl Radicles;;Radicule Mosgharl;;Mosgharl-Keimwurzeln;マギュルヴルツェル;南瓜轻足
Guild Bard Boots S;;Bottes de barde S;;Gildenbard.Stiefel S;ギルドバードＳブーツ;工会精英皮靴Ｓ
Guild Bard Gaiters S;;Guêtres de barde S;;GildenbardenStulpenS;ギルドバードＳフット;工会精英足甲Ｓ
Scholar's Socks S;;Chaussettes clerc S;;Gelehrten-Socken S;スカラーＳソックス;店员短袜Ｓ
Scholar's Sandals S;;Sandales de clerc S;;Gelehrten-Sandalen S;スカラーＳサンダル;店员凉鞋Ｓ
Ingot Greaves S;;Grèves Ingot S;;Guss-Beinschienen S;インゴットＳグリーヴ;高合金重靴Ｓ
Ingot Leggings S;;Cuissardes Ingot S;;Guss-Gamaschen S;インゴットＳレギンス;高合金轻靴Ｓ
Rathian Greaves S;;Grèves Rathian S;;Rathian-Beinschie. S;レイアＳグリーヴ;雌火龙重靴Ｓ
Rathian Leggings S;;Cuissardes Rathian S;;Rathian-Gamaschen S;レイアＳレギンス;雌火龙轻靴Ｓ
Rath Heart Greaves;;Grèves Coeur Rath;;Rath.Herz-Beinschie.;リオハートグリーヴ;樱火龙重靴
Rath Heart Leggings;;Cuiss. Coeur Rath;;Rath.Herz-Gamaschen;リオハートレギンス;樱火龙轻靴
Gigginox Greaves S;;Grèves Gigginox S;;GigginoxBeinschie. S;ネブラＳグリーヴ;毒怪龙重靴Ｓ
Gigginox Leggings S;;Cuiss. Gigginox S;;Gigginox-Gamaschen S;ネブラＳレギンス;毒怪龙轻靴Ｓ
Gigginox Greaves U;;Grèves Gigginox U;;GigginoxBeinschie. U;ネブラＵグリーヴ;电怪龙重靴Ｕ
Gigginox Leggings U;;Cuiss. Gigginox U;;Gigginox-Gamaschen U;ネブラＵレギンス;电怪龙轻靴Ｕ
Plesioth Greaves;;Grèves Plesioth;;Plesioth-Beinschie.;ガノスグリーヴ;水龙重靴
Plesioth Leggings;;Cuissardes Plesioth;;Plesioth-Gamaschen;ガノスレギンス;水龙轻靴
Barioth Greaves S;;Grèves Barioth S;;BariothBeinschienenS;ベリオＳグリーヴ;冰牙龙重靴Ｓ
Barioth Leggings S;;Cuissardes Barioth S;;Barioth-Gamaschen S;ベリオＳレギンス;冰牙龙轻靴Ｓ
Barioth Greaves U;;Grèves Barioth U;;BariothBeinschienenU;ベリオＵグリーヴ;风牙龙重靴Ｕ
Barioth Leggings U;;Cuissardes Barioth U;;Barioth-Gamaschen U;ベリオＵレギンス;风牙龙轻靴Ｕ
Nibelsnarf Greaves S;;Grèves Nibelsnarf S;;NibelsnarfBeinsch. S;ハプルＳグリーヴ;潜口龙重靴Ｓ
Nibelsnarf Leggngs S;;Cuiss. Nibelsnarf S;;NibelsnarfGamaschenS;ハプルＳレギンス;潜口龙轻靴Ｓ
Nargacuga Greaves;;Grèves Nargacuga;;Nargacuga-Beinschie.;ナルガグリーヴ;迅龙重靴
Nargacuga Leggings;;Cuiss. Nargacuga;;Nargacuga-Gamaschen;ナルガレギンス;迅龙轻靴
Lagiacrus Greaves S;;Grèves Lagiacrus S;;LagiacrusBeinschi. S;ラギアＳグリーヴ;海龙重靴Ｓ
Lagiacrus Leggings S;;Cuiss. Lagiacrus S;;LagiacrusGamaschen S;ラギアＳレギンス;海龙轻靴Ｓ
Lagiacrus Greaves U;;Grèves Lagiacrus U;;LagiacrusBeinschi. U;ラギアＵグリーヴ;白海龙重靴Ｕ
Lagiacrus Leggings U;;Cuiss. Lagiacrus U;;LagiacrusGamaschen U;ラギアＵレギンス;白海龙轻靴Ｕ
Rathalos Greaves S;;Grèves Rathalos S;;RathalosBeinschie. S;レウスＳグリーヴ;雄火龙重靴Ｓ
Rathalos Leggings S;;Cuiss. Rathalos S;;Rathalos-Gamaschen S;レウスＳレギンス;雄火龙轻靴Ｓ
Rath Soul Greaves;;Grèves Âme Rath;;RathSeelenbeinschie.;リオソウルグリーヴ;苍火龙重靴
Rath Soul Leggings;;Cuissardes Âme Rath;;RathSeelengamaschen;リオソウルレギンス;苍火龙轻靴
Zinogre Greaves;;Grèves Zinogre;;Zinogre-Beinschienen;ジンオウグリーヴ;雷狼龙重靴
Zinogre Leggings;;Cuissardes Zinogre;;Zinogre-Gamaschen;ジンオウレギンス;雷狼龙轻靴
Brachydios Greaves;;Grèves Brachydios;;BrachydiosBeinschie.;ブラキグリーヴ;碎龙重靴
Brachydios Leggings;;Cuiss. Brachydios;;Brachydios-Gamaschen;ブラキレギンス;碎龙轻靴
Duramboros Greaves S;;Grèves Duramboros S;;Duram.Beinschie.S;ドボルＳグリーヴ;尾槌龙重靴Ｓ
Duramboros Leggngs S;;Cuiss. Duramboros S;;Duramboros-Gamaschen S;ドボルＳレギンス;尾槌龙轻靴Ｓ
Ranger's Espadrilles;;Espadrill. de ranger;;Ranger-Leinenschuhe;城塞遊撃隊【足袋】;城塞游击队【足袋】
Archer's Espadrilles;;Espadrill. d'archer;;Bogens.-Leinenschuhe;城塞弓撃隊【足袋】;城塞弓击队【足袋】
Dober Greaves;;Grèves Dober;;Dober-Beinschienen;ドーベルグリーヴ;远古龙重靴
Dober Leggings;;Cuissardes Dober;;Dober-Gamaschen;ドーベルレギンス;远古龙轻靴
Diablos Greaves S;;Grèves Diablos S;;Diablos-Beinschie. S;ディアブロＳグリーヴ;角龙重靴Ｓ
Diablos Leggings S;;Cuissardes Diablos S;;Diablos-Gamaschen S;ディアブロＳレギンス;角龙轻靴Ｓ
Diablos Greaves U;;Grèves Diablos U;;Diablos-Beinschie. U;ディアブロＵグリーヴ;黑角龙重靴Ｕ
Diablos Leggings U;;Cuissardes Diablos U;;Diablos-Gamaschen U;ディアブロＵレギンス;黑角龙轻靴Ｕ
Agnaktor Greaves S;;Grèves Agnaktor S;;AgnaktorBeinschie. S;アグナＳグリーヴ;炎戈龙重靴Ｓ
Agnaktor Leggings S;;Cuiss. Agnaktor S;;Agnaktor-Gamaschen S;アグナＳレギンス;炎戈龙轻靴Ｓ
Agnaktor Greaves U;;Grèves Agnaktor U;;AgnaktorBeinschie. U;アグナＵグリーヴ;冻戈龙重靴Ｕ
Agnaktor Leggings U;;Cuiss. Agnaktor U;;Agnaktor-Gamaschen U;アグナＵレギンス;冻戈龙轻靴Ｕ
Uragaan Greaves S;;Grèves Uragaan S;;Uragaan-Beinschie. S;ガンキンＳグリーヴ;爆锤龙重靴Ｓ
Uragaan Leggings S;;Cuissardes Uragaan S;;Uragaan-Gamaschen S;ガンキンＳレギンス;爆锤龙轻靴Ｓ
Uragaan Greaves U;;Grèves Uragaan U;;Uragaan-Beinschie. U;ガンキンＵグリーヴ;钢锤龙重靴Ｕ
Uragaan Leggings U;;Cuissardes Uragaan U;;Uragaan-Gamaschen U;ガンキンＵレギンス;钢锤龙轻靴Ｕ
Damascus Greaves;;Grèves Damascus;;DamaskusBeinschienen;ダマスクグリーヴ;金属镶嵌重靴
Damascus Leggings;;Cuissardes Damascus;;Damaskus-Gamaschen;ダマスクレギンス;金属镶嵌轻靴
Yamato Gusoku;;Yamato Gusoku;;Yamato-Gusoku;大和【具足】;大和【袴】
Mutsu Gusoku;;Mutsu Gusoku;;Mutsu-Gusoku;陸奥【具足】;陆奥【袴】
Hyuga Hakama;;Hyuga Hakama;;Hyuga-Hakama;日向【袴】;日向【袴】
Amagi Hakama;;Amagi Hakama;;Amagi-Hakama;天城【袴】;天城【袴】
Vangis Greaves;;Grèves Vangis;;Vangis-Beinschienen;バンギスグリーヴ;恐暴龙重靴
Vangis Leggings;;Cuissardes Vangis;;Vangis-Gamaschen;バンギスレギンス;恐暴龙轻靴
Escadora Scale;;Escadora Scale;;Escadora-Schuppe;エスカドラスケル;煌黑龙之骨
Escadora Scala;;Écaille Escadora;;Escadora-Dunkel;エスカドラスクレ;煌黑龙之足
Pirate Boots J;;Jolly Roger Boots;;Jolly Roger Boots;大海賊Ｊブーツ;大海盗Ｊ皮靴
Pirate Feet J;;Jolly Roger Feet;;Jolly Roger Feet;大海賊Ｊパンツ;大海盗Ｊ具足
Black Leather Chaps;;Jambières cuir noir;;Schwarze Überhose;ブラックレザーレグス;漆黑轻皮足甲
Black Leather Pants;;Pantalon cuir noir;;Schwarze Lederhose;ブラックレザーパンツ;漆黑轻皮具足
Bouya Jeans;;Street Jeans;;Street Jeans;坊屋ジーンズ;坊屋牛仔裤
Bouya Denim;;Street Denim;;Street Denim;坊屋デニム;坊屋休闲裤
Bnahabra Boots X;;Bottes Bnahabra X;;Bnahabra-Stiefel X;ブナハＸブーツ;飞甲虫皮靴Ｘ
Bnahabra Pants X;;Pantalon Bnahabra X;;Bnahabra-Hose X;ブナハＸフット;飞甲虫具足Ｘ
Rhenoplos Greaves X;;Grèves Rhenoplos X;;RhenoplosBeinschi.X;リノプロＸグリーヴ;草食龙重靴Ｘ
Rhenoplos Leggings X;;Cuiss. Rhenoplos X;;RhenoplosGamaschenX;リノプロＸレギンス;草食龙轻靴Ｘ
Chakra Anklet;;Cheville Chakra;;Chakra-Fußring;三眼の足輪;三眼足轮
Mosgharl Roots X;;Racines Mosgharl X;;Mosgharl-Wurzeln X;マギュルＸライース;南瓜重足Ｘ
Mosgharl Radicles X;;Radicules Mosgharl X;;MosgharlKeimwurzelnX;マギュルＸヴルツェル;南瓜轻足Ｘ
Jaggi Greaves X;;Grèves Jaggi X;;Jaggi-Beinschienen X;ジャギィＸグリーヴ;狗龙重靴Ｘ
Jaggi Leggings X;;Cuissardes Jaggi X;;Jaggi-Gamaschen X;ジャギィＸレギンス;狗龙轻靴Ｘ
Baggi Greaves X;;Grèves Baggi X;;Baggi-Beinschienen X;バギィＸグリーヴ;眠狗龙重靴Ｘ
Baggi Leggings X;;Cuissardes Baggi X;;Baggi-Gamaschen X;バギィＸレギンス;眠狗龙轻靴Ｘ
Wroggi Greaves X;;Grèves Wroggi X;;WroggiBeinschienen X;フロギィＸグリーヴ;毒狗龙重靴Ｘ
Wroggi Leggings X;;Cuissardes Wroggi X;;Wroggi-Gamaschen X;フロギィＸレギンス;毒狗龙轻靴Ｘ
Arzuros Greaves X;;Grèves Arzuros X;;ArzurosBeinschienenX;アシラＸグリーヴ;青熊兽重靴Ｘ
Arzuros Leggings X;;Cuissardes Arzuros X;;Arzuros-GamaschenX;アシラＸレギンス;青熊兽轻靴Ｘ
Lagombi Greaves X;;Grèves Lagombi X;;Lagombi-Beinschie. X;ウルクＸグリーヴ;白兔兽重靴Ｘ
Lagombi Leggings X;;Cuissardes Lagombi X;;Lagombi-Gamaschen X;ウルクＸレギンス;白兔兽轻靴Ｘ
Volvidon Greaves X;;Grèves Volvidon X;;VolvidonBeinschie. X;ラングロＸグリーヴ;赤甲兽重靴Ｘ
Volvidon Leggings X;;Cuiss. Volvidon X;;Volvidon-Gamaschen X;ラングロＸレギンス;赤甲兽轻靴Ｘ
Ingot Greaves X;;Grèves Ingot X;;Guss-Beinschienen X;インゴットＸグリーヴ;高合金重靴Ｘ
Ingot Leggings X;;Cuissardes Ingot X;;Guss-Gamaschen X;インゴットＸレギンス;高合金轻靴Ｘ
Dianthus Wealpants;;Pantalon Dianthus;;Dianthus-Gunsthose;撫子・華【球袴】;扶子・华【球袴】
Campanile Wealpants;;Pantalon Campanile;;Campanile-Gunsthose;桔梗・華【球袴】;桔梗・华【球袴】
Sailor Socks;;Chaussettes de marin;;Matrosen-Socken;セイラーソックス;水手服短袜
Sailor Sandals;;Sandales de marin;;Matrosen-Sandalen;セイラーサンダル;水手服凉鞋
Qurupeco Greaves X;;Grèves Qurupeco X;;QurupecoBeinschie. X;ペッコＸグリーヴ;彩鸟重靴Ｘ
Qurupeco Leggings X;;Cuiss. Qurupeco X;;Qurupeco-Gamaschen X;ペッコＸレギンス;彩鸟轻靴Ｘ
Qurupeco Greaves Z;;Grèves Qurupeco Z;;QurupecoBeinschie. Z;ペッコＺグリーヴ;红彩鸟重靴Ｚ
Qurupeco Leggings Z;;Cuiss. Qurupeco Z;;Qurupeco-Gamaschen Z;ペッコＺレギンス;红彩鸟轻靴Ｚ
Ludroth Greaves X;;Grèves Ludroth X;;Ludroth-Beinschie. X;ルドロスＸグリーヴ;水兽重靴Ｘ
Ludroth Leggings X;;Cuissardes Ludroth X;;Ludroth-Gamaschen X;ルドロスＸレギンス;水兽轻靴Ｘ
Ludroth Greaves Z;;Grèves Ludroth Z;;Ludroth-Beinschie. Z;ルドロスＺグリーヴ;紫水兽重靴Ｚ
Ludroth Leggings Z;;Cuissardes Ludroth Z;;Ludroth-Gamaschen Z;ルドロスＺレギンス;紫水兽轻靴Ｚ
Artian Greaves X;;Grèves Artian X;;Artian-Beinschie. X;アーティアＸグリーヴ;神秘重靴Ｘ
Artian Leggings X;;Cuissardes Artian X;;Artian-Gamaschen X;アーティアＸレギンス;神秘轻靴Ｘ
Plesioth Greaves X;;Grèves Plesioth X;;PlesiothBeinschie. X;ガノスＸグリーヴ;水龙重靴Ｘ
Plesioth Leggings X;;Cuiss. Plesioth X;;Plesioth-Gamaschen X;ガノスＸレギンス;水龙轻靴Ｘ
Plesioth Greaves Z;;Grèves Plesioth Z;;PlesiothBeinschie. Z;ガノスＺグリーヴ;翠水龙重靴Ｚ
Plesioth Leggings Z;;Cuiss. Plesioth Z;;Plesioth-Gamaschen Z;ガノスＺレギンス;翠水龙轻靴Ｚ
Rathian Greaves X;;Grèves Rathian X;;Rathian-Beinschie. X;レイアＸグリーヴ;雌火龙重靴Ｘ
Rathian Leggings X;;Cuiss. Rathian X;;Rathian-Gamaschen X;レイアＸレギンス;雌火龙轻靴Ｘ
Rath Heart Greaves Z;;Grèves Coeur Rath Z;;RathHerzBeinschie. Z;リオハートＺグリーヴ;樱火龙重靴Ｚ
Rath Heart Leggngs Z;;Cuiss. Coeur Rath Z;;Rath.Herz-Gamasch. Z;リオハートＺレギンス;樱火龙轻靴Ｚ
Guild Bard Boots X;;Bottes de barde X;;GildenbardenStiefelX;ギルドバードＸブーツ;工会精英皮靴Ｘ
